bib,year,classID,place,time,overall,pro,n_paddlers
A1,2014,oc2stockalum,9,44831,1571,0,2
A10,2014,oc2stockalum,7,39007,1341,0,2
A11,2014,oc2stockalum,8,42358,1508,0,2
A2,2014,oc2stockalum,2,34939,998,0,2
A3,2014,oc2stockalum,11,49374,1631,0,2
A4,2014,oc2stockalum,5,38017,1266,0,2
A5,2014,oc2stockalum,10,47110,1606,0,2
A6,2014,oc2stockalum,3,37169,1201,0,2
A7,2014,oc2stockalum,1,32574,688,0,2
A8,2014,oc2stockalum,6,38383,1298,0,2
A9,2014,oc2stockalum,4,37450,1227,0,2
B1,2014,oc4stock,1,26543,20,0,4
B2,2014,oc4stock,7,31648,545,0,4
B3,2014,oc4stock,5,28401,118,0,4
B4,2014,oc4stock,4,28013,90,0,4
B6,2014,oc4stock,2,27409,51,0,4
B7,2014,oc4stock,6,31382,498,0,4
B8,2014,oc4stock,3,27957,87,0,4
B9,2014,oc4stock,8,31797,562,0,4
C1,2014,oc2rec,6,41172,1457,0,2
C2,2014,oc2rec,3,34822,985,0,2
C3,2014,oc2rec,7,43576,1549,0,2
C4,2014,oc2rec,1,32398,649,0,2
C5,2014,oc2rec,4,38522,1313,0,2
C6,2014,oc2rec,2,34104,895,0,2
C7,2014,oc2rec,5,39331,1366,0,2
D1,2014,oc2recmix,3,38189,1280,0,2
D2,2014,oc2recmix,4,46967,1604,0,2
D3,2014,oc2recmix,2,37693,1244,0,2
D4,2014,oc2recmix,1,34406,937,0,2
E1,2014,oc2stock,6,31420,507,0,2
E10,2014,oc2stock,5,31224,482,0,2
E11,2014,oc2stock,2,30322,327,0,2
E12,2014,oc2stock,8,31824,565,0,2
E13,2014,oc2stock,7,31808,564,0,2
E14,2014,oc2stock,1,29825,259,0,2
E2,2014,oc2stock,10,33939,875,0,2
E3,2014,oc2stock,13,40529,1431,0,2
E4,2014,oc2stock,3,30587,374,0,2
E5,2014,oc2stock,9,32485,673,0,2
E6,2014,oc2stock,11,34363,929,0,2
E7,2014,oc2stock,4,30639,383,0,2
E9,2014,oc2stock,12,34391,935,0,2
F1,2014,oc2stockmix,2,34427,939,0,2
F2,2014,oc2stockmix,1,33004,753,0,2
F3,2014,oc2stockmix,3,36275,1137,0,2
J1,2014,oc1,7,38098,1271,0,1
J2,2014,oc1,1,30366,336,0,1
J3,2014,oc1,6,36957,1193,0,1
J4,2014,oc1,4,33925,873,0,1
J5,2014,oc1,5,34360,927,0,1
J6,2014,oc1,3,32275,629,0,1
J7,2014,oc1,8,39327,1365,0,1
J9,2014,oc1,2,31064,452,0,1
L10,2014,oc1master,9,32960,747,0,1
L11,2014,oc1master,2,30809,408,0,1
L12,2014,oc1master,13,36145,1123,0,1
L13,2014,oc1master,14,37451,1228,0,1
L14,2014,oc1master,6,32216,617,0,1
L15,2014,oc1master,5,32147,608,0,1
L16,2014,oc1master,7,32331,637,0,1
L17,2014,oc1master,11,33074,765,0,1
L18,2014,oc1master,4,31790,559,0,1
L2,2014,oc1master,8,32621,692,0,1
L3,2014,oc1master,3,31491,520,0,1
L4,2014,oc1master,12,33568,820,0,1
L6,2014,oc1master,10,33066,762,0,1
L7,2014,oc1master,1,30510,362,0,1
L8,2014,oc1master,15,43246,1539,0,1
P1,2014,oc2pro,30,29118,182,1,2
P10,2014,oc2pro,11,26825,27,1,2
P11,2014,oc2pro,22,27787,71,1,2
P12,2014,oc2pro,26,28176,100,1,2
P13,2014,oc2pro,18,27473,55,1,2
P14,2014,oc2pro,2,25900,2,1,2
P15,2014,oc2pro,7,26480,17,1,2
P16,2014,oc2pro,19,27502,56,1,2
P17,2014,oc2pro,14,27235,39,1,2
P18,2014,oc2pro,25,27887,82,1,2
P19,2014,oc2pro,21,27577,60,1,2
P2,2014,oc2pro,29,28481,123,1,2
P20,2014,oc2pro,16,27385,48,1,2
P21,2014,oc2pro,1,25899,1,1,2
P22,2014,oc2pro,6,26426,14,1,2
P23,2014,oc2pro,12,26842,28,1,2
P25,2014,oc2pro,4,26337,10,1,2
P26,2014,oc2pro,15,27336,45,1,2
P27,2014,oc2pro,3,26052,3,1,2
P28,2014,oc2pro,13,26937,31,1,2
P29,2014,oc2pro,9,26589,22,1,2
P30,2014,oc2pro,28,28210,104,1,2
P32,2014,oc2pro,17,27387,49,1,2
P33,2014,oc2pro,23,27799,73,1,2
P34,2014,oc2pro,32,29541,228,1,2
P35,2014,oc2pro,8,26536,19,1,2
P4,2014,oc2pro,24,27803,74,1,2
P5,2014,oc2pro,10,26785,26,1,2
P6,2014,oc2pro,31,29226,197,1,2
P7,2014,oc2pro,5,26404,12,1,2
P8,2014,oc2pro,27,28202,102,1,2
P9,2014,oc2pro,20,27512,57,1,2
R1,2014,oc1stock,6,38521,1312,0,1
