fighter_name,Weight,Reach,Stance,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,birthyear,height_inches
Shamil Abdurakhimov,235,76,Orthodox,2.45,44,2.45,58,1.23,24,47,0.2,1981,75
Daichi Abe,170,71,Orthodox,3.8,33,4.49,56,0.33,50,0,0,1991,71
Klidson Abreu,205,74,Orthodox,2.05,40,2.9,55,0.64,20,80,0,1992,72
Juan Adams,265,80,Orthodox,7.09,55,4.06,34,0.91,66,57,0,1992,77
Anthony Adams,185,76,Orthodox,3.17,41,5.93,44,0,0,0,0,1988,73
Israel Adesanya,185,80,Switch,3.95,49,2.63,61,0,0,82,0.3,1989,76
Zarrukh Adashev,125,65,Southpaw,1.93,23,3.35,60,0,0,0,0,1992,65
Mariya Agapova,125,68,Southpaw,3.7,50,4.15,47,1.23,66,33,0.6,1997,66
Jessica Aguilar,115,63,Orthodox,4.93,50,7.19,53,0.94,25,50,0.2,1982,63
Kevin Aguilar,155,73,Orthodox,3.69,37,4.47,53,0.19,25,87,0,1988,67
Christian Aguilera,170,72,Switch,3.35,41,4.89,46,0,0,0,0,1991,69
Rostem Akman,170,72,Switch,1.8,25,3.97,57,1,40,87,0,1991,70
Omari Akhmedov,185,73,Orthodox,2.95,35,2.59,57,2.63,49,65,0.3,1987,72
Yoshihiro Akiyama,170,75,Orthodox,3.1,41,3.62,57,2.29,67,92,1,1975,70
Herdem Alacabek,205,75,Orthodox,3.84,65,6.66,23,2.06,50,42,0,1991,74
Mostapha Al-Turk,245,77,Orthodox,1.36,19,3.61,53,0,0,0,0,1973,74
Heili Alateng,135,66,Orthodox,2.87,32,5.82,57,2.33,35,100,0,1991,65
Amir Albazi,125,68,Orthodox,4.06,40,3.15,58,2.28,75,66,0.8,1993,65
John Albert,135,68,Orthodox,3.05,49,2.82,35,0,0,50,6.1,1986,68
Aleksandra Albu,115,63,Orthodox,4.83,47,5.56,38,2.27,50,77,0.4,1990,62
Junior Albini,264,74,Orthodox,3.98,51,6.08,52,1.54,37,100,0,1991,75
Ildemar Alcantara,185,78,Orthodox,1.93,38,2.63,50,2,68,81,0.9,1982,74
Iuri Alcantara,135,71,Southpaw,2.72,45,2.79,49,1.44,62,60,0.8,1980,69
Hector Aldana,170,72,Orthodox,3.59,38,5.08,59,0.93,100,0,0,1988,71
Irene Aldana,135,68,Orthodox,5.52,38,5.97,61,0.23,50,84,0.1,1988,69
JJ Aldrich,125,67,Southpaw,3.76,41,4.55,61,0.8,40,57,0,1992,65
Jose Aldo,135,70,Orthodox,3.45,45,3.52,61,0.57,56,91,0.1,1986,67
Jim Alers,145,71,Orthodox,2.9,40,4.38,56,2.26,41,80,0.3,1986,69
Houston Alexander,205,72,Orthodox,3.06,54,3.2,52,1.19,57,33,0,1972,72
John Alessio,155,72,Orthodox,2.1,39,2.91,54,1.85,38,70,1.2,1979,70
Marcio Alexandre Junior,185,75,Southpaw,1.61,45,2.89,42,0.35,20,66,0.7,1989,72
Bill Algeo,145,73,Switch,6.8,56,5.31,38,0.67,33,62,0,1989,72
Sultan Aliev,170,74,Orthodox,1.41,45,2.2,56,1.76,38,100,0,1984,71
John Allan,205,75,Orthodox,2.95,43,4.01,52,1.94,71,50,1.2,1993,73
Arnold Allen,145,70,Southpaw,3.19,41,2,67,1.36,52,76,0.5,1994,68
Ben Alloway,170,76,Orthodox,1.28,49,1.9,59,0.62,50,26,0,1981,71
Brendan Allen,185,75,Orthodox,3.55,59,4.57,39,1.17,37,50,2,1995,74
Ricardo Almeida,170,74,Orthodox,2.02,49,1.2,61,3.74,38,31,1.2,1976,72
Thomas Almeida,145,70,Southpaw,5.39,44,4.69,64,0,0,75,0,1991,67
Sarah Alpar,135,63,Southpaw,2.11,54,4.76,32,2.69,28,50,0.7,1991,64
