LastName,Country,Age,TotalPoints,DiveNum,DiveName,Difficulty,Points,Judge,Point_Awarded,Judge_Result
Fung,CAN,18,374.7,1,103B,1.7,35.7,Judge1,7,Okay
Fung,CAN,18,374.7,1,103B,1.7,35.7,Judge2,6.5,Too Low
Fung,CAN,18,374.7,1,103B,1.7,35.7,Judge3,7.5,Too High
Fung,CAN,18,374.7,1,103B,1.7,35.7,Judge4,7.5,Too High
Fung,CAN,18,374.7,1,103B,1.7,35.7,Judge5,7,Okay
Fung,CAN,18,374.7,1,103B,1.7,35.7,Judge6,7,Okay
Fung,CAN,18,374.7,1,103B,1.7,35.7,Judge7,7,Okay
Fung,CAN,18,374.7,2,201B,1.6,31.2,Judge1,6.5,Okay
Fung,CAN,18,374.7,2,201B,1.6,31.2,Judge2,6,Too Low
Fung,CAN,18,374.7,2,201B,1.6,31.2,Judge3,6.5,Okay
Fung,CAN,18,374.7,2,201B,1.6,31.2,Judge4,7,Too High
Fung,CAN,18,374.7,2,201B,1.6,31.2,Judge5,6.5,Okay
Fung,CAN,18,374.7,2,201B,1.6,31.2,Judge6,6.5,Okay
Fung,CAN,18,374.7,2,201B,1.6,31.2,Judge7,6,Too Low
Fung,CAN,18,374.7,3,5233D,2.5,48.75,Judge1,6.5,Okay
Fung,CAN,18,374.7,3,5233D,2.5,48.75,Judge2,6.5,Okay
Fung,CAN,18,374.7,3,5233D,2.5,48.75,Judge3,6.5,Okay
Fung,CAN,18,374.7,3,5233D,2.5,48.75,Judge4,6.5,Okay
Fung,CAN,18,374.7,3,5233D,2.5,48.75,Judge5,6.5,Okay
Fung,CAN,18,374.7,3,5233D,2.5,48.75,Judge6,6.5,Okay
Fung,CAN,18,374.7,3,5233D,2.5,48.75,Judge7,6,Too Low
Fung,CAN,18,374.7,4,301B,1.7,33.15,Judge1,6,Too Low
Fung,CAN,18,374.7,4,301B,1.7,33.15,Judge2,6.5,Okay
Fung,CAN,18,374.7,4,301B,1.7,33.15,Judge3,6,Too Low
Fung,CAN,18,374.7,4,301B,1.7,33.15,Judge4,6.5,Okay
Fung,CAN,18,374.7,4,301B,1.7,33.15,Judge5,6.5,Okay
Fung,CAN,18,374.7,4,301B,1.7,33.15,Judge6,7.5,Too High
Fung,CAN,18,374.7,4,301B,1.7,33.15,Judge7,6.5,Okay
Fung,CAN,18,374.7,5,401B,1.5,31.5,Judge1,7,Okay
Fung,CAN,18,374.7,5,401B,1.5,31.5,Judge2,7,Okay
Fung,CAN,18,374.7,5,401B,1.5,31.5,Judge3,7,Okay
