Speed,SpeedInterval,Name
0.279690189,Speed1,CARL Victoria
0.511073254,Speed2,CARL Victoria
0.317554828,Speed3,CARL Victoria
0.327568134,Speed4,CARL Victoria
0.276772408,Speed1,BRENNAN Rosie
0.495867769,Speed2,BRENNAN Rosie
0.316049383,Speed3,BRENNAN Rosie
0.325478453,Speed4,BRENNAN Rosie
0.278074866,Speed1,ANDERSSON Ebba
0.489236791,Speed2,ANDERSSON Ebba
0.321349669,Speed3,ANDERSSON Ebba
0.319611353,Speed4,ANDERSSON Ebba
0.269597677,Speed1,DIGGINS Jessie
0.510812191,Speed2,DIGGINS Jessie
0.31134462,Speed3,DIGGINS Jessie
0.323624595,Speed4,DIGGINS Jessie
0.268207138,Speed1,NISKANEN Kerttu
0.498670213,Speed2,NISKANEN Kerttu
0.311223497,Speed3,NISKANEN Kerttu
0.3212129,Speed4,NISKANEN Kerttu
0.273799495,Speed1,SLIND Astrid Oeyre
0.508733254,Speed2,SLIND Astrid Oeyre
0.304414003,Speed3,SLIND Astrid Oeyre
0.318228106,Speed4,SLIND Astrid Oeyre
0.26514379,Speed1,FINK Pia
0.503778338,Speed2,FINK Pia
0.306220096,Speed3,FINK Pia
0.318268619,Speed4,FINK Pia
0.26683087,Speed1,RIBOM Emma
0.50951087,Speed2,RIBOM Emma
0.302371728,Speed3,RIBOM Emma
0.318511912,Speed4,RIBOM Emma
0.267489712,Speed1,WENG Heidi
0.489955904,Speed2,WENG Heidi
0.308671747,Speed3,WENG Heidi
0.31693712,Speed4,WENG Heidi
0.267104993,Speed1,BERGANE Margrethe
0.488360736,Speed2,BERGANE Margrethe
0.310528869,Speed3,BERGANE Margrethe
0.313794402,Speed4,BERGANE Margrethe
0.273224044,Speed1,SVAHN Linn
0.498836049,Speed2,SVAHN Linn
0.301233173,Speed3,SVAHN Linn
0.31693712,Speed4,SVAHN Linn
0.258603541,Speed1,STADLOBER Teresa
0.491320013,Speed2,STADLOBER Teresa
0.309807339,Speed3,STADLOBER Teresa
0.317540963,Speed4,STADLOBER Teresa
0.26683087,Speed1,ILAR Moa
0.495049505,Speed2,ILAR Moa
0.303720577,Speed3,ILAR Moa
0.316455696,Speed4,ILAR Moa
0.267765191,Speed1,HENRIKSSON Sofia
0.492449114,Speed2,HENRIKSSON Sofia
0.303461356,Speed3,HENRIKSSON Sofia
0.313165477,Speed4,HENRIKSSON Sofia
0.263051396,Speed1,GANZ Caterina
0.493015612,Speed2,GANZ Caterina
0.301375024,Speed3,GANZ Caterina
0.311138768,Speed4,GANZ Caterina
0.261938344,Speed1,RYDZEK Coletta
0.503778338,Speed2,RYDZEK Coletta
0.292718624,Speed3,RYDZEK Coletta
0.317339426,Speed4,RYDZEK Coletta
0.264604112,Speed1,GAL Melissa
0.483481064,Speed2,GAL Melissa
0.302200397,Speed3,GAL Melissa
0.311293737,Speed4,GAL Melissa
