"Location","Year","dist_m","Stroke","Gender","Team","Athlete","Results","Rank","time_period"
"Tokyo",2020,100,"Backstroke","Women","AUS","Kaylee Mckeown",57.47,1,"recent"
"Tokyo",2020,100,"Backstroke","Women","CAN","Kylie Masse",57.72,2,"recent"
"Tokyo",2020,100,"Backstroke","Women","USA","Regan Smith",58.05,3,"recent"
"Tokyo",2020,100,"Backstroke","Women","USA","Rhyan Elizabeth White",58.43,4,"recent"
"Tokyo",2020,100,"Backstroke","Women","AUS","Emily Seebohm",58.45,4,"recent"
"Tokyo",2020,100,"Backstroke","Women","GBR","Kathleen Dawson",58.7,4,"recent"
"Tokyo",2020,100,"Backstroke","Women","NED","Kira Toussaint",59.11,4,"recent"
"Tokyo",2020,100,"Backstroke","Women","ISR","Anastasya Gorbenko",59.53,4,"recent"
"Tokyo",2020,100,"Butterfly","Women","CAN","Margaret Mac Neil",55.59,1,"recent"
"Tokyo",2020,100,"Butterfly","Women","CHN","Yufei Zhang",55.64,2,"recent"
"Tokyo",2020,100,"Butterfly","Women","AUS","Emma Mckeon",55.72,3,"recent"
"Tokyo",2020,100,"Butterfly","Women","USA","Torri Huske",55.73,4,"recent"
"Tokyo",2020,100,"Butterfly","Women","SWE","Louise Hansson",56.22,4,"recent"
"Tokyo",2020,100,"Butterfly","Women","FRA","Marie Wattel",56.27,4,"recent"
"Tokyo",2020,100,"Butterfly","Women","SWE","Sarah Sjoestroem",56.91,4,"recent"
"Tokyo",2020,100,"Butterfly","Women","BLR","Anastasiya Shkurdai",57.05,4,"recent"
"Tokyo",2020,100,"Freestyle","Women","AUS","Emma Mckeon",51.96,1,"recent"
"Tokyo",2020,100,"Freestyle","Women","HKG","Siobhan Bernadette Haughey",52.27,2,"recent"
"Tokyo",2020,100,"Freestyle","Women","AUS","Cate Campbell",52.52,3,"recent"
"Tokyo",2020,100,"Freestyle","Women","CAN","Penny Oleksiak",52.59,4,"recent"
"Tokyo",2020,100,"Freestyle","Women","SWE","Sarah Sjoestroem",52.68,4,"recent"
"Tokyo",2020,100,"Freestyle","Women","NED","Femke Heemskerk",52.79,4,"recent"
"Tokyo",2020,100,"Freestyle","Women","GBR","Anna Hopkin",52.83,4,"recent"
"Tokyo",2020,100,"Freestyle","Women","USA","Abbey Weitzeil",53.23,4,"recent"
"Rio",2016,100,"Backstroke","Women","HUN","Katinka Hosszu",58.45,1,"recent"
"Rio",2016,100,"Backstroke","Women","USA","Kathleen Baker",58.75,2,"recent"
"Rio",2016,100,"Backstroke","Women","CAN","Kylie Masse",58.76,3,"recent"
"Rio",2016,100,"Backstroke","Women","CHN","Yuanhui Fu",58.76,3,"recent"
