"play_descripton","set","Date","Time","Site","Attendance","url","timeout","prev_home_score","prev_visiting_score","next_home_score","next_visiting_score","losing_team","set_winner","losing_team_wins"
"Timeout St. Lawrence.",1,"2013-11-08","05:00:00","Clarkson University (Alumni Gymnasium)

",150,"https://saintsathletics.com/boxscore.aspx?id=3485&path=wvball",TRUE,10,16,10,17,"home","visiting",FALSE
"Timeout St. Lawrence.",2,"2013-11-08","05:00:00","Clarkson University (Alumni Gymnasium)

",150,"https://saintsathletics.com/boxscore.aspx?id=3485&path=wvball",TRUE,14,23,15,23,"home","visiting",FALSE
"Timeout St. Lawrence.",3,"2013-11-08","05:00:00","Clarkson University (Alumni Gymnasium)

",150,"https://saintsathletics.com/boxscore.aspx?id=3485&path=wvball",TRUE,7,10,8,10,"home","visiting",FALSE
"Timeout St. Lawrence.",3,"2013-11-08","05:00:00","Clarkson University (Alumni Gymnasium)

",150,"https://saintsathletics.com/boxscore.aspx?id=3485&path=wvball",TRUE,18,22,19,22,"home","visiting",FALSE
"Timeout Union College.",3,"2013-11-08","05:00:00","Clarkson University (Alumni Gymnasium)

",150,"https://saintsathletics.com/boxscore.aspx?id=3485&path=wvball",TRUE,21,22,21,23,"home","visiting",FALSE
"Timeout Plattsburgh State.",1,"2013-09-10","19:00:00","Plattsburgh, N.Y. (Memorial Hall)

",178,"https://rooathletics.com/boxscore.aspx?id=1204&path=wvball",TRUE,13,10,14,10,"visiting","home",FALSE
"Timeout Plattsburgh State.",1,"2013-09-10","19:00:00","Plattsburgh, N.Y. (Memorial Hall)

",178,"https://rooathletics.com/boxscore.aspx?id=1204&path=wvball",TRUE,NA,NA,23,18,NA,"home",NA
"Timeout SUNY Canton.",1,"2013-09-10","19:00:00","Plattsburgh, N.Y. (Memorial Hall)

",178,"https://rooathletics.com/boxscore.aspx?id=1204&path=wvball",TRUE,23,19,24,19,"visiting","home",FALSE
"Timeout Plattsburgh State.",2,"2013-09-10","19:00:00","Plattsburgh, N.Y. (Memorial Hall)

",178,"https://rooathletics.com/boxscore.aspx?id=1204&path=wvball",TRUE,13,12,13,13,"visiting","visiting",TRUE
"Timeout SUNY Canton.",2,"2013-09-10","19:00:00","Plattsburgh, N.Y. (Memorial Hall)

",178,"https://rooathletics.com/boxscore.aspx?id=1204&path=wvball",TRUE,14,17,14,18,"home","visiting",FALSE
