week,player,qbr,qb_plays,player_id,player_name,position,position_group,season,season_type,game_id,team,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks,sack_yards,fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,pacr,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance,fantasy_points,fantasy_points_ppr,pct_total,result
1,Lamar Jackson,94.9,30,00-0034796,L.Jackson,QB,QB,2025,REG,2025_01_BAL_BUF,BAL,BUF,14,19,209,2,0,2,-15,0,0,173,109,8,8.798420577786704,8.720899255652176,0,1.2080924855491328,6,70,1,0,0,5,9.690438299475366,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,29.36,29.36,49.382716049382715,-1
1,Jordan Love,92.5,25,00-0036264,J.Love,QB,QB,2025,REG,2025_01_DET_GB,GB,DET,16,22,188,2,0,0,0,0,0,253,39,8,10.06529425203067,13.074940307573838,0,0.7430830039525692,3,4,0,0,0,1,-0.09109412686666474,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,15.92,15.92,67.5,14
1,Jalen Hurts,89,35,00-0036389,J.Hurts,QB,QB,2025,REG,2025_01_DAL_PHI,PHI,DAL,19,23,152,0,0,1,-8,0,0,112,61,6,1.5907520360172063,21.806308776140213,0,1.3571428571428572,14,62,2,0,0,7,5.471464365313295,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,24.28,24.28,54.54545454545454,4
1,Baker Mayfield,88.3,38,00-0034855,B.Mayfield,QB,QB,2025,REG,2025_01_TB_ATL,TB,ATL,17,32,167,3,0,1,-8,0,0,334,45,10,5.766234403595268,-10.401313503583273,0,0.5,5,39,0,0,0,3,4.554537580464967,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,22.58,22.58,53.48837209302325,3
1,Justin Herbert,86.7,44,00-0036355,J.Herbert,QB,QB,2025,REG,2025_01_KC_LAC,LAC,KC,25,34,318,3,0,3,-14,0,0,342,134,16,17.567262160454625,5.788767951376298,0,0.9298245614035088,7,32,0,0,0,1,-0.15164659672882408,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,27.919999999999998,27.919999999999998,56.25,6
1,Patrick Mahomes,86.1,51,00-0033873,P.Mahomes,QB,QB,2025,REG,2025_01_KC_LAC,KC,LAC,24,39,258,1,0,2,-9,0,0,271,116,9,3.4485526789862906,-5.99277631232613,0,0.9520295202952029,6,57,1,0,0,5,7.211467055254616,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,26.02,26.02,43.75,-6
1,Brock Purdy,85.5,41,00-0037834,B.Purdy,QB,QB,2025,REG,2025_01_SF_SEA,SF,SEA,26,35,277,2,2,1,-12,0,0,260,121,15,13.329884157278123,15.341458162840675,0,1.0653846153846154,5,17,0,0,0,0,1.0408143481181469,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,16.779999999999998,16.779999999999998,56.666666666666664,4
1,Daniel Jones,85.1,38,00-0035710,D.Jones,QB,QB,2025,REG,2025_01_MIA_IND,IND,MIA,22,29,272,1,0,1,-10,0,0,196,112,14,12.997713351082982,5.388343025898111,0,1.3877551020408163,7,26,2,0,0,4,3.7861336248318556,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,29.48,29.48,80.48780487804879,25
1,Michael Penix Jr.,83.1,51,00-0039917,M.Penix,QB,QB,2025,REG,2025_01_TB_ATL,ATL,TB,27,42,298,1,0,1,-9,0,0,288,189,16,9.624095207309598,-5.938342639378139,0,1.0347222222222223,6,21,1,1,0,4,5.938414361939067,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,24.02,24.02,46.51162790697674,-3
1,Josh Allen,76.9,64,00-0034857,J.Allen,QB,QB,2025,REG,2025_01_BAL_BUF,BUF,BAL,33,46,394,2,0,1,-5,0,0,400,148,19,14.233714385272462,8.594318959448072,0,0.985,14,30,2,0,0,4,2.0186324775008804,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,38.76,38.76,50.617283950617285,1
