Team,Athlete,Score,Remark,Form
RUS,Tatiana SHURMISTROVA,9.05,1st Category Prize,International Women's Group C Traditional Chen Style Taijiquan
GEO,NINO CHIKHLADZE,9.04,2nd Category Prize,International Women's Group C Traditional Chen Style Taijiquan
FRA,NGUYEN Diana,9.03,2nd Category Prize,International Women's Group C Traditional Chen Style Taijiquan
JPN,YOKO NAKATA,8.89,3rd Category Prize,International Women's Group C Traditional Chen Style Taijiquan
ITA,Stefania GAVIANO,8.88,3rd Category Prize,International Women's Group C Traditional Chen Style Taijiquan
AUS,Krista Brennan,8.87,3rd Category Prize,International Women's Group C Traditional Chen Style Taijiquan
GER,Anke Zhang,8.86,,International Women's Group C Traditional Chen Style Taijiquan
POL,Anna Kubiak,8.85,,International Women's Group C Traditional Chen Style Taijiquan
CZE,Jana Neradova,8.81,,International Women's Group C Traditional Chen Style Taijiquan
RSA,Tarina LUYT,8.8,,International Women's Group C Traditional Chen Style Taijiquan
EGY,Hesham Nabil Abdelnabi Mohamed,9.15,1st Category Prize,International Men's Group C Traditional Chen Style Taijiquan
EGY,Mohamed nagi Ali Mohamed,9.05,2nd Category Prize,International Men's Group C Traditional Chen Style Taijiquan
ROU,Claudiu Mihaila,9.01,2nd Category Prize,International Men's Group C Traditional Chen Style Taijiquan
MAC,LI SHAOYUE,9,3rd Category Prize,International Men's Group C Traditional Chen Style Taijiquan
CZE,Jiri Hauska,8.99,3rd Category Prize,International Men's Group C Traditional Chen Style Taijiquan
ITA,Gianluigi BISONI,8.98,3rd Category Prize,International Men's Group C Traditional Chen Style Taijiquan
JPN,TOMOHIRO NAKATA,8.95,,International Men's Group C Traditional Chen Style Taijiquan
FRA,CONTOZ Eudes,8.91,,International Men's Group C Traditional Chen Style Taijiquan
USA,Cheng ZHANG,8.87,,International Men's Group C Traditional Chen Style Taijiquan
JPN,TSUTOMU KOBUKI,8.78,,International Men's Group C Traditional Chen Style Taijiquan
GER,Marc Koesling,8.73,,International Men's Group C Traditional Chen Style Taijiquan
JPN,YU NAKAGAWA,9.08,1st Category Prize,International Women's Group D Traditional Chen Style Taijiquan
CAN,Yee Yat-Kwan,8.97,2nd Category Prize,International Women's Group D Traditional Chen Style Taijiquan
USA,Ping WU,8.95,2nd Category Prize,International Women's Group D Traditional Chen Style Taijiquan
RUS,Antonina IVANOVA,8.91,3rd Category Prize,International Women's Group D Traditional Chen Style Taijiquan
RSA,Daniela CHRYSOSTOMOU,8.9,3rd Category Prize,International Women's Group D Traditional Chen Style Taijiquan
JPN,MAMI HAYASAKI,8.89,3rd Category Prize,International Women's Group D Traditional Chen Style Taijiquan
FRA,VIGNON Roxane,8.84,,International Women's Group D Traditional Chen Style Taijiquan
JPN,MINA KAMIYOSHI,8.81,,International Women's Group D Traditional Chen Style Taijiquan
HKG,LUK Cheung Fung Grendy,8.75,,International Women's Group D Traditional Chen Style Taijiquan
JPN,KAGARI YAMAMOTO,8.68,,International Women's Group D Traditional Chen Style Taijiquan
CHN,ZHU XIANGHUA,9.35,1st Category Prize,International Men's Group D Traditional Chen Style Taijiquan
IRI,saeed atazadeh,9.11,1st Category Prize,International Men's Group D Traditional Chen Style Taijiquan
