"","Form"
"1","Bagua Zhang"
"2","Baji Quan"
"3","Cha Quan"
"4","Chen Style Taiji Jian"
"5","Chen Style Taijiquan"
"6","Choy Lay Fut Kune (Cailifo Quan)"
"7","Compulsory Yang Style Taijiquan"
"8","Dao (Broadsword)"
"9","Ditang Quan"
"10","Fan"
"11","Fanzi Quan"
"12","Guandao (Kwan Dao)"
"13","Gun (Cudgel/Staff)"
"14","Hua Quan"
"15","Hung Gar Kune (Hongjia Quan)"
"16","Imitation Eagle Style"
"17","Imitation Eagle Styles"
"18","Imitation Other Styles"
"19","Imitation Styles"
"20","Imitation Tang Lang Styles"
"21","Jian (Straight Sword)"
"22","Jiu Jie Bian (Nine Section Whip Chain)"
"23","Nan Dao (Southern Broadsword)"
"24","Nan Gun (Southern Staff/Cudgel)"
"25","Other Southern Styles Nanquan"
"26","Other Style Taiji Weapon"
"27","Other Taiji Jian"
"28","Other Taiji Weapon"
"29","Other Taijiquan"
"30","Other Traditional Double Weapon"
"31","Other Traditional Flexible/Soft Weapon"
"32","Other Traditional Flexible/Soft Weapon F"
"33","Other Traditional Single Weapon"
"34","Other Traditional Single Weapons"
"35","Other Traditional Taijiquan"
"36","Other Traditional Weapon"
"37","Other Types of Traditional Styles"
"38","Other Weapon"
"39","P Dao(Kwan Dao)"
"40","Posture Taiji Jian"
"41","Posture Taijiquan"
"42","Pudao"
"43","Qiang (Spear)"
"44","Shaolin Gun"
"45","Shaolin Quan"
"46","Shuang Dao (Double Broadsword)"
"47","Shuang Jian(Double Straight Sword/Double Long Tassel Straight Sword) F"
"48","Southern Styles Nanquan"
"49","Taiji Jian (Including 42 Posture Taiji Jian)"
"50","Tongbei Quan"
"51","Traditional Chen Style Taijiquan"
"52","Traditional Double Weapon"
"53","Traditional Flexible/Soft Weapon"
"54","Traditional Yang Style Taijiquan"
"55","Wing Chun Kune (Yongchun Quan)"
"56","Xingyi Quan"
"57","Yang Style Taiji Jian"
"58","Yang Style Taiji Weapon"
"59","Yang Style Taijiquan"
"60","Yang StyleTaiji Jian"
"61","Zui Jian (Drunken Sword)"
