Athlete,Team,Score,Remark,Form
DE ALMEIDA COSTA Cleu,BRA,8.85,1ST Prize,. Men's Cailifoquan (Choy Lay Fut)-Group D
MASCHERPE CUELBAS Joao Pedro,BRA,8.82,2ND Prize,. Men's Cailifoquan (Choy Lay Fut)-Group D
DA SILVA CAPELAZZO Anthony,BRA,8.8,3RD Prize,. Men's Cailifoquan (Choy Lay Fut)-Group D
AZEVEDO Miguel Angelo,PRT,8.71,3RD Prize,. Men's Cailifoquan (Choy Lay Fut)-Group D
GKOUMAS Anastasios,GRC,8.55,,. Men's Cailifoquan (Choy Lay Fut)-Group D
YAP Wei Sheng Wilson,SGP,8.82,1ST Prize,. Men's Hongjiaquan (Hung Gar) -Group D
NG Shao Chun,SGP,8.79,2ND Prize,. Men's Hongjiaquan (Hung Gar) -Group D
NISIOTIS Nikolaos,GRC,8.77,2ND Prize,. Men's Hongjiaquan (Hung Gar) -Group D
MA?NICKI Konrad,POL,8.64,3RD Prize,. Men's Hongjiaquan (Hung Gar) -Group D
DAOUDI Moubarak,BEL,8.61,3RD Prize,. Men's Hongjiaquan (Hung Gar) -Group D
TESTARDINI Matteo,ITA,8.6,,. Men's Hongjiaquan (Hung Gar) -Group D
MIRATSKY Jakub,CZE,8.56,,. Men's Hongjiaquan (Hung Gar) -Group D
ULLAH Mohammad Wahid,USA,8.5,,. Men's Hongjiaquan (Hung Gar) -Group D
YANG Fuhua,CHN,9.05,1ST Prize,. Men's Yongchunquan (Wing Chun)-Group D
CHARLES Sutanto,IDN,8.85,2ND Prize,. Men's Yongchunquan (Wing Chun)-Group D
TABAROV Fotekh,TJK,8.75,2ND Prize,. Men's Yongchunquan (Wing Chun)-Group D
NASR IBRAHIM Taw?k Mossad Salem,EGY,8.74,3RD Prize,. Men's Yongchunquan (Wing Chun)-Group D
ESWAL Abhijeet,IND,8.65,3RD Prize,. Men's Yongchunquan (Wing Chun)-Group D
KARWOWSKI Jakub,POL,8.65,3RD Prize,. Men's Yongchunquan (Wing Chun)-Group D
SHAIK Aman Pasha,IND,8.63,,. Men's Yongchunquan (Wing Chun)-Group D
PAW?OWICZ Mateusz Robert,POL,8.57,,. Men's Yongchunquan (Wing Chun)-Group D
SZPOCZEK Micha? Krzysztof,POL,8.56,,. Men's Yongchunquan (Wing Chun)-Group D
LOW Shun Quan Benette,SGP,9.02,1ST Prize,. Men's Other Nanquan Routines -Group D
NGAN Lok Man,HKG,9.01,1ST Prize,. Men's Other Nanquan Routines -Group D
CARELLA Nelso Cesar,ARG,8.92,1ST Prize,. Men's Other Nanquan Routines -Group D
KAMA Muhammet Can,TUR,8.88,2ND Prize,. Men's Other Nanquan Routines -Group D
FESCHENKO Daniil,UKR,8.84,2ND Prize,. Men's Other Nanquan Routines -Group D
PHAM Nguyen Hoang Phuc,VNM,8.8,2ND Prize,. Men's Other Nanquan Routines -Group D
KROETZ Benjamin Fritz Ludwig,DEU,8.79,2ND Prize,. Men's Other Nanquan Routines -Group D
BILUT Tomasz,POL,8.79,2ND Prize,. Men's Other Nanquan Routines -Group D
MAMEDOVI Rauli,GEO,8.77,3RD Prize,. Men's Other Nanquan Routines -Group D
IOANA Mihai,ROU,8.77,3RD Prize,. Men's Other Nanquan Routines -Group D
HASIEGANU Victor,ROU,8.74,3RD Prize,. Men's Other Nanquan Routines -Group D
BORGES COUTINHO GALLO Iuri,BRA,8.7,3RD Prize,. Men's Other Nanquan Routines -Group D
CHENG Kei Win,SGP,8.7,3RD Prize,. Men's Other Nanquan Routines -Group D
KAZUO GONÇALVES MIYASAKA KauãN,BRA,8.68,3RD Prize,. Men's Other Nanquan Routines -Group D
SANCHEZ ROCHA Hugo Aurelio,MEX,8.68,3RD Prize,. Men's Other Nanquan Routines -Group D
Cam'Ron Yiu Fung TSANG,GBR,8.67,3RD Prize,. Men's Other Nanquan Routines -Group D
NURMATOV Sherzod,TJK,8.65,,. Men's Other Nanquan Routines -Group D
SIRTO Alessandro,ITA,8.63,,. Men's Other Nanquan Routines -Group D
LAMPADAS Konstantinos,GRC,8.62,,. Men's Other Nanquan Routines -Group D
JALI Khayelihle Goodenough,ZAF,8.6,,. Men's Other Nanquan Routines -Group D
KEYS Aaron Jamaal,USA,8.6,,. Men's Other Nanquan Routines -Group D
ABDULLO-ZODA Fayzullo,TJK,8.57,,. Men's Other Nanquan Routines -Group D
VALIEV Ilyoskhon,TJK,8.55,,. Men's Other Nanquan Routines -Group D
CHOI Alexander Martin,USA,8.54,,. Men's Other Nanquan Routines -Group D
PHAN Van Anh Hao,VNM,7.77,,. Men's Other Nanquan Routines -Group D
Thierno DIBA,SEN,(DNS),,. Men's Other Nanquan Routines -Group D
SIRTO Elisabetta,ITA,(DNS),,. Men's Other Nanquan Routines -Group D
MOHAMMAD SHUAIB Ayubi,AFG,(DNS),,. Men's Other Nanquan Routines -Group D
MOHAMMED Mugahed Mohammed Hussein,YEM,(DNS),,. Men's Other Nanquan Routines -Group D
SAREER KHAN Zadran,AFG,(DNS),,. Men's Other Nanquan Routines -Group D
LWZA Bassam Ahmed Ali Rezq,YEM,(DNS),,. Men's Other Nanquan Routines -Group D
ARAB Nadir,DZA,(DNS),,. Men's Other Nanquan Routines -Group D
AVAGYAN Artashes,ARM,8.81,1ST Prize,. Men's Hongjiaquan (Hung Gar)-Group E
ANG Boon Seng Royce,SGP,8.76,2ND Prize,. Men's Hongjiaquan (Hung Gar)-Group E
DIMANFA BONGIANNI Marcos,BRA,8.62,3RD Prize,. Men's Hongjiaquan (Hung Gar)-Group E
LEUTZ Richard,BRA,8.61,3RD Prize,. Men's Hongjiaquan (Hung Gar)-Group E
CARRETERO MEDIAVILLA Jose,ESP,8.56,,. Men's Hongjiaquan (Hung Gar)-Group E
CHEUNG Wing Kit,HKG,8.55,,. Men's Hongjiaquan (Hung Gar)-Group E
SIRTO Edoardo Francesco Maria,ITA,8.7,1ST Prize,. Men's Other Nanquan Routines Group E
TAVARES DE ALMEIDA Sergio,PRT,8.69,2ND Prize,. Men's Other Nanquan Routines Group E
OLIVEIRA SANTOS Italo Jorge,BRA,8.67,2ND Prize,. Men's Other Nanquan Routines Group E
LAMPADAS Theodoros,GRC,8.66,3RD Prize,. Men's Other Nanquan Routines Group E
ZERVAS Chrisovalantis,GRC,8.65,3RD Prize,. Men's Other Nanquan Routines Group E
ALMEIDA DA SILVA Evandro,BRA,8.63,,. Men's Other Nanquan Routines Group E
MAKRIS Athanasios,GRC,8.61,,. Men's Other Nanquan Routines Group E
PAPACHARALAMPOUS Vasileios,GRC,8.58,,. Men's Other Nanquan Routines Group E
Boubacar SAMBOU,SEN,(DNS),,. Men's Other Nanquan Routines Group E
CHEN Zhigang,CHN,8.89,1ST Prize,. Men's Shaolinquan-Group E
OCHI Kenta,JPN,8.84,2ND Prize,. Men's Shaolinquan-Group E
PUZIS Rami,ISR,8.82,2ND Prize,. Men's Shaolinquan-Group E
PANAGOPOULOS Christos,GRC,8.71,2ND Prize,. Men's Shaolinquan-Group E
HERCZEG Andras,HUN,8.71,3RD Prize,. Men's Shaolinquan-Group E
FUKUNISHI Tadashi,JPN,8.66,3RD Prize,. Men's Shaolinquan-Group E
NG Chester Tse King,USA,8.64,3RD Prize,. Men's Shaolinquan-Group E
SMOOK Christiaan Harold,ZAF,8.61,3RD Prize,. Men's Shaolinquan-Group E
HUANACUNI MAMANI Fernando,BOL,8.61,,. Men's Shaolinquan-Group E
KRIGGER DOS SANTOS Rodrigo,BRA,8.6,,. Men's Shaolinquan-Group E
HAMLI Othmane,TUN,8.55,,. Men's Shaolinquan-Group E
IOANA Florin,ROU,8.55,,. Men's Shaolinquan-Group E
JACOBS Bernard Paul,ZAF,8.54,,. Men's Shaolinquan-Group E
Mamadou FALL,SEN,(DNS),,. Men's Shaolinquan-Group E
BEIBALAYEV Artyom,KAZ,(DNS),,. Men's Shaolinquan-Group E
MINORU TANOSHI SéRgio,BRA,8.75,1ST Prize,. Men's Xingyiquan- Group E
RAJA CATALA Vicente,ESP,8.73,2ND Prize,. Men's Xingyiquan- Group E
TIAN Hongwei,CHN,8.72,3RD Prize,. Men's Xingyiquan- Group E
CHUCHOLOWSKI Frederic Emanuel,DEU,8.66,3RD Prize,. Men's Xingyiquan- Group E
FERNANDO Punchividanelage Mahesh Deepal,LKA,8.58,,. Men's Xingyiquan- Group E
VAN DER MESCHT Thor,ZAF,8.52,,. Men's Xingyiquan- Group E
JING Xuecai,CHN,8.91,1ST Prize,. Men's Other Barehand Routines-Group E
ZHENG Wu,CHN,8.87,1ST Prize,. Men's Other Barehand Routines-Group E
ALKELANY Farouk Alkelany,EGY,8.74,2ND Prize,. Men's Other Barehand Routines-Group E
COLACO DAVID Daniel Goncalo,PRT,8.73,2ND Prize,. Men's Other Barehand Routines-Group E
MORALES GARCIA Jose Luis,ESP,8.7,2ND Prize,. Men's Other Barehand Routines-Group E
ROMERO Hrod,FRA,8.69,3RD Prize,. Men's Other Barehand Routines-Group E
ESCALANTE PEINADO Ivan Alberto,MEX,8.68,3RD Prize,. Men's Other Barehand Routines-Group E
