Score,Form,Group
8.57,Other Barehand Routines,A/B
8.51,Other Barehand Routines,A/B
8.5,Other Barehand Routines,A/B
8.49,Other Barehand Routines,A/B
8.48,Other Barehand Routines,A/B
8.46,Other Barehand Routines,A/B
8.43,Other Barehand Routines,A/B
8.43,Other Barehand Routines,A/B
8.41,Other Barehand Routines,A/B
8.4,Other Barehand Routines,A/B
8.37,Other Barehand Routines,A/B
8.35,Other Barehand Routines,A/B
8.7,Other Barehand Routines,A/B
8.69,Other Barehand Routines,A/B
8.57,Other Barehand Routines,A/B
8.55,Other Barehand Routines,A/B
8.55,Other Barehand Routines,A/B
8.52,Other Barehand Routines,A/B
8.47,Other Barehand Routines,A/B
8.47,Other Barehand Routines,A/B
8.46,Other Barehand Routines,A/B
8.44,Other Barehand Routines,A/B
8.41,Other Barehand Routines,A/B
8.38,Other Barehand Routines,A/B
8.35,Other Barehand Routines,A/B
8.47,Other Double Weapon Routines,A/B
8.42,Other Double Weapon Routines,A/B
8.41,Other Double Weapon Routines,A/B
8.4,Other Double Weapon Routines,A/B
8.33,Other Double Weapon Routines,A/B
8.29,Other Double Weapon Routines,A/B
8.49,Other Single/Soft Weapon Routines,A/B
8.48,Other Single/Soft Weapon Routines,A/B
8.47,Other Single/Soft Weapon Routines,A/B
8.42,Other Single/Soft Weapon Routines,A/B
8.41,Other Single/Soft Weapon Routines,A/B
8.4,Other Single/Soft Weapon Routines,A/B
8.38,Other Single/Soft Weapon Routines,A/B
8.36,Other Single/Soft Weapon Routines,A/B
8.35,Other Single/Soft Weapon Routines,A/B
8.34,Other Single/Soft Weapon Routines,A/B
8.33,Other Single/Soft Weapon Routines,A/B
8.31,Other Single/Soft Weapon Routines,A/B
8.29,Other Single/Soft Weapon Routines,A/B
8.27,Other Single/Soft Weapon Routines,A/B
8.25,Other Single/Soft Weapon Routines,A/B
8.21,Other Single/Soft Weapon Routines,A/B
(DNS),Other Nanquan Routines,D
(DNS),Other Nanquan Routines,D
(DNS),Other Nanquan Routines,D
(DNS),Other Nanquan Routines,D
(DNS),Other Nanquan Routines,D
(DNS),Other Nanquan Routines,D
(DNS),Other Nanquan Routines,D
8.11,Other Single/Soft Weapon Routines,A/B
8.1,Other Single/Soft Weapon Routines,A/B
6.55,Other Single/Soft Weapon Routines,A/B
8.62,Other Double Weapon Routines,A/B/C
8.58,Other Double Weapon Routines,A/B/C
8.57,Other Double Weapon Routines,A/B/C
8.56,Other Double Weapon Routines,A/B/C
8.54,Other Double Weapon Routines,A/B/C
8.52,Other Double Weapon Routines,A/B/C
8.52,Other Double Weapon Routines,A/B/C
8.49,Other Double Weapon Routines,A/B/C
8.47,Other Double Weapon Routines,A/B/C
8.45,Other Double Weapon Routines,A/B/C
8.45,Other Double Weapon Routines,A/B/C
(DNS),Other Nanquan Routines,E
8.43,Other Double Weapon Routines,A/B/C
8.42,Other Double Weapon Routines,A/B/C
8.42,Other Double Weapon Routines,A/B/C
8.41,Other Double Weapon Routines,A/B/C
8.34,Other Double Weapon Routines,A/B/C
8.47,Other Single Weapon Routines,B
8.46,Other Single Weapon Routines,B
8.44,Other Single Weapon Routines,B
8.42,Other Single Weapon Routines,B
8.41,Other Single Weapon Routines,B
8.4,Other Single Weapon Routines,B
8.37,Other Single Weapon Routines,B
8.31,Other Single Weapon Routines,B
(DNS),Shaolinquan,E
(DNS),Shaolinquan,E
8.24,Other Single Weapon Routines,B
8.1,Other Single Weapon Routines,B
8.46,Shaolinquan,B
8.43,Shaolinquan,B
8.41,Shaolinquan,B
8.4,Shaolinquan,B
8.46,Shaolinquan,B
8.38,Shaolinquan,B
8.37,Shaolinquan,B
8.34,Shaolinquan,B
8.22,Shaolinquan,B
8.7,Other Taijijian/Taijidao/Taijishan,B/C
8.57,Other Taijijian/Taijidao/Taijishan,B/C
8.5,Other Taijijian/Taijidao/Taijishan,B/C
8.45,Other Taijijian/Taijidao/Taijishan,B/C
8.42,Other Taijijian/Taijidao/Taijishan,B/C
8.4,Other Taijijian/Taijidao/Taijishan,B/C
8.35,Other Taijijian/Taijidao/Taijishan,B/C
8.14,Other Taijijian/Taijidao/Taijishan,B/C
7.96,Other Taijijian/Taijidao/Taijishan,B/C
7.95,Other Taijijian/Taijidao/Taijishan,B/C
7.92,Other Taijijian/Taijidao/Taijishan,B/C
(DNS),Other Barehand Routines,E
(DNS),Other Barehand Routines,E
7.91,Other Taijijian/Taijidao/Taijishan,B/C
7.89,Other Taijijian/Taijidao/Taijishan,B/C
8.7,other Taijiquan Routines,B/C
8.63,other Taijiquan Routines,B/C
8.62,other Taijiquan Routines,B/C
8.58,other Taijiquan Routines,B/C
8.57,other Taijiquan Routines,B/C
(DNS),Other Barehand Routines,F
8.55,other Taijiquan Routines,B/C
8.53,other Taijiquan Routines,B/C
8.47,other Taijiquan Routines,B/C
8.47,other Taijiquan Routines,B/C
8.47,other Taijiquan Routines,B/C
8.36,other Taijiquan Routines,B/C
8.31,other Taijiquan Routines,B/C
8.2,other Taijiquan Routines,B/C
8.14,other Taijiquan Routines,B/C
8.12,other Taijiquan Routines,B/C
8.1,other Taijiquan Routines,B/C
8.06,other Taijiquan Routines,B/C
7.92,other Taijiquan Routines,B/C
7.65,other Taijiquan Routines,B/C
8.67,Other Taijiquan Routines,B/C
8.65,Other Taijiquan Routines,B/C
8.63,Other Taijiquan Routines,B/C
8.62,Other Taijiquan Routines,B/C
8.6,Other Taijiquan Routines,B/C
8.55,Other Taijiquan Routines,B/C
8.51,Other Taijiquan Routines,B/C
8.4,Other Taijiquan Routines,B/C
8.35,Other Taijiquan Routines,B/C
8.29,Other Taijiquan Routines,B/C
8.25,Other Taijiquan Routines,B/C
8.61,Baguazhang,C
8.6,Baguazhang,C
8.58,Baguazhang,C
8.49,Baguazhang,C
8.4,Baguazhang,C
(DNS),Other Single weapon Routines,C
8.32,Baguazhang,C
8.66,Bajiquan,C
8.62,Bajiquan,C
8.54,Bajiquan,C
8.52,Bajiquan,C
8.48,Bajiquan,C
8.41,Bajiquan,C
8.87,Bajiquan,C
8.76,Bajiquan,C
8.68,Bajiquan,C
8.67,Bajiquan,C
8.6,Bajiquan,C
8.55,Bajiquan,C
8.43,Bajiquan,C
8.42,Bajiquan,C
8.41,Bajiquan,C
8.64,Chaquan,C
8.6,Chaquan,C
8.58,Chaquan,C
8.56,Chaquan,C
8.56,Chaquan,C
(DNS),Chaquan,D
8.54,Chaquan,C
8.53,Chaquan,C
8.52,Chaquan,C
8.52,Chaquan,C
8.5,Chaquan,C
8.49,Chaquan,C
8.48,Chaquan,C
8.45,Chaquan,C
8.45,Chaquan,C
8.45,Chaquan,C
8.38,Chaquan,C
8.76,Chaquan,C
8.72,Chaquan,C
8.7,Chaquan,C
8.64,Chaquan,C
8.64,Chaquan,C
8.6,Chaquan,C
8.6,Chaquan,C
8.58,Chaquan,C
(DNS),Shaolinquan,D
8.58,Chaquan,C
8.55,Chaquan,C
8.53,Chaquan,C
8.47,Chaquan,C
8.57,Chen Style,C
8.52,Chen Style,C
8.5,Chen Style,C
8.4,Chen Style,C
8.9,Dao (Broadsword),C
8.71,Dao (Broadsword),C
8.7,Dao (Broadsword),C
8.68,Dao (Broadsword),C
8.66,Dao (Broadsword),C
8.65,Dao (Broadsword),C
8.63,Dao (Broadsword),C
8.62,Dao (Broadsword),C
8.59,Dao (Broadsword),C
8.54,Dao (Broadsword),C
8.5,Dao (Broadsword),C
8.5,Dao (Broadsword),C
8.45,Dao (Broadsword),C
8.44,Dao (Broadsword),C
8.17,Dao (Broadsword),C
8.13,Dao (Broadsword),C
8.13,Dao (Broadsword),C
8.56,Dao (Broadsword),C
(DNS),Other Barehand Routines,D
(DNS),Other Barehand Routines,D
(DNS),Other Barehand Routines,D
8.49,Dao (Broadsword),C
8.47,Dao (Broadsword),C
8.46,Dao (Broadsword),C
8.45,Dao (Broadsword),C
8.44,Dao (Broadsword),C
8.4,Dao (Broadsword),C
9.05,Gun,C
8.9,Gun,C
8.89,Gun,C
8.87,Gun,C
8.82,Gun,C
8.81,Gun,C
8.8,Gun,C
8.79,Gun,C
8.75,Gun,C
8.72,Gun,C
8.7,Gun,C
8.63,Gun,C
8.62,Gun,C
8.62,Gun,C
(DNS),Other Barehand Routines,E/F
(DNS),Other Barehand Routines,E/F
8.58,Gun,C
8.5,Gun,C
8.5,Gun,C
8.47,Gun,C
8.43,Gun,C
8.42,Gun,C
8.42,Gun,C
8.36,Gun,C
8.26,Gun,C
8.2,Gun,C
8.02,Gun,C
8.69,Gun,C
8.66,Gun,C
8.65,Gun,C
8.6,Gun,C
8.59,Gun,C
8.58,Gun,C
8.57,Gun,C
8.55,Gun,C
8.52,Gun,C
8.51,Gun,C
8.5,Gun,C
8.47,Gun,C
8.44,Gun,C
8.42,Gun,C
8.4,Gun,C
8.27,Gun,C
7.93,Gun,C
8.63,Huaquan,C
8.6,Huaquan,C
8.56,Huaquan,C
8.53,Huaquan,C
8.49,Huaquan,C
8.48,Huaquan,C
8.8,Jian (Straight Sword),C
8.79,Jian (Straight Sword),C
8.75,Jian (Straight Sword),C
8.66,Jian (Straight Sword),C
8.65,Jian (Straight Sword),C
8.67,Jian (Straight Sword),C
8.6,Jian (Straight Sword),C
8.59,Jian (Straight Sword),C
(DNS),Gun (Cudgel/Sta?),C
8.52,Jian (Straight Sword),C
8.51,Jian (Straight Sword),C
8.5,Jian (Straight Sword),C
8.48,Jian (Straight Sword),C
8.47,Jian (Straight Sword),C
8.45,Jian (Straight Sword),C
(DNS),Other Nanquan Routines,E
(DNS),Other Nanquan Routines,E
(DNS),Other Nanquan Routines,E
(DNS),Other Nanquan Routines,E
(DNS),Other Nanquan Routines,E
8.42,Jian (Straight Sword),C
8.39,Jian (Straight Sword),C
8.3,Jian (Straight Sword),C
8.26,Jian (Straight Sword),C
(DNS),Shaolinquan,B
8.79,Jiujiebian (Nine Section Whip Chain),C
8.75,Jiujiebian (Nine Section Whip Chain),C
8.65,Jiujiebian (Nine Section Whip Chain),C
8.58,Jiujiebian (Nine Section Whip Chain),C
8.41,Jiujiebian (Nine Section Whip Chain),C
8.69,Nandao (Southern Broadsword),C
8.68,Nandao (Southern Broadsword),C
8.66,Nandao (Southern Broadsword),C
8.6,Nandao (Southern Broadsword),C
8.57,Nandao (Southern Broadsword),C
8.49,Nandao (Southern Broadsword),C
8.56,Nandao (Southern Broadsword),C
(DNS),Other Barehand Routines,A/B
8.52,Nandao (Southern Broadsword),C
8.48,Nandao (Southern Broadsword),C
8.46,Nandao (Southern Broadsword),C
8.4,Nandao (Southern Broadsword),C
8.64,Other Barehand Routines,C
8.6,Other Barehand Routines,C
8.58,Other Barehand Routines,C
8.54,Other Barehand Routines,C
8.54,Other Barehand Routines,C
8.53,Other Barehand Routines,C
8.53,Other Barehand Routines,C
8.53,Other Barehand Routines,C
8.52,Other Barehand Routines,C
8.52,Other Barehand Routines,C
8.52,Other Barehand Routines,C
8.52,Other Barehand Routines,C
8.5,Other Barehand Routines,C
8.5,Other Barehand Routines,C
8.49,Other Barehand Routines,C
8.48,Other Barehand Routines,C
8.48,Other Barehand Routines,C
8.48,Other Barehand Routines,C
8.47,Other Barehand Routines,C
8.47,Other Barehand Routines,C
(DNS),Other Nanquan Routines,C
8.46,Other Barehand Routines,C
8.46,Other Barehand Routines,C
8.45,Other Barehand Routines,C
8.45,Other Barehand Routines,C
8.44,Other Barehand Routines,C
(DNS),Yingzhaoquan (Eagle Style),C
8.44,Other Barehand Routines,C
8.42,Other Barehand Routines,C
8.42,Other Barehand Routines,C
8.85,Other Barehand Routines,C
8.75,Other Barehand Routines,C
8.64,Other Barehand Routines,C
(DNS),Bajiquan,C
(DNS),Bajiquan,C
8.61,Other Barehand Routines,C
8.6,Other Barehand Routines,C
8.56,Other Barehand Routines,C
8.55,Other Barehand Routines,C
8.51,Other Barehand Routines,C
8.51,Other Barehand Routines,C
8.51,Other Barehand Routines,C
8.5,Other Barehand Routines,C
8.49,Other Barehand Routines,C
8.49,Other Barehand Routines,C
8.49,Other Barehand Routines,C
8.47,Other Barehand Routines,C
8.47,Other Barehand Routines,C
8.47,Other Barehand Routines,C
8.47,Other Barehand Routines,C
8.45,Other Barehand Routines,C
8.44,Other Barehand Routines,C
8.41,Other Barehand Routines,C
8.4,Other Barehand Routines,C
8.36,Other Barehand Routines,C
8.33,Other Barehand Routines,C
8.29,Other Barehand Routines,C
8.95,Other Double Weapon Routines,C
8.75,Other Double Weapon Routines,C
8.65,Other Double Weapon Routines,C
8.55,Other Double Weapon Routines,C
8.55,Other Double Weapon Routines,C
8.54,Other Double Weapon Routines,C
8.53,Other Double Weapon Routines,C
8.51,Other Double Weapon Routines,C
8.44,Other Double Weapon Routines,C
8.42,Other Double Weapon Routines,C
7.64,Other Double Weapon Routines,C
8.61,Other Nanquan Routines,C
8.6,Other Nanquan Routines,C
8.59,Other Nanquan Routines,C
8.59,Other Nanquan Routines,C
8.57,Other Nanquan Routines,C
8.57,Other Nanquan Routines,C
8.56,Other Nanquan Routines,C
8.56,Other Nanquan Routines,C
8.55,Other Nanquan Routines,C
8.54,Other Nanquan Routines,C
8.54,Other Nanquan Routines,C
(DNS),Xingyiquan,C
8.53,Other Nanquan Routines,C
8.53,Other Nanquan Routines,C
8.53,Other Nanquan Routines,C
8.52,Other Nanquan Routines,C
8.52,Other Nanquan Routines,C
8.51,Other Nanquan Routines,C
8.51,Other Nanquan Routines,C
8.51,Other Nanquan Routines,C
8.5,Other Nanquan Routines,C
8.48,Other Nanquan Routines,C
8.46,Other Nanquan Routines,C
8.45,Other Nanquan Routines,C
8.44,Other Nanquan Routines,C
8.66,Other Nanquan Routines,C
8.64,Other Nanquan Routines,C
8.64,Other Nanquan Routines,C
8.61,Other Nanquan Routines,C
8.6,Other Nanquan Routines,C
8.6,Other Nanquan Routines,C
8.59,Other Nanquan Routines,C
8.57,Other Nanquan Routines,C
8.53,Other Nanquan Routines,C
8.5,Other Nanquan Routines,C
8.79,Other Single weapon Routines,C
8.75,Other Single weapon Routines,C
8.75,Other Single weapon Routines,C
8.71,Other Single weapon Routines,C
8.71,Other Single weapon Routines,C
(DNS),Other Barehand Routines,C
(DNS),Other Barehand Routines,C
(DNS),Other Barehand Routines,C
8.7,Other Single weapon Routines,C
8.7,Other Single weapon Routines,C
8.63,Other Single weapon Routines,C
8.63,Other Single weapon Routines,C
8.63,Other Single weapon Routines,C
8.62,Other Single weapon Routines,C
8.61,Other Single weapon Routines,C
8.61,Other Single weapon Routines,C
8.6,Other Single weapon Routines,C
8.58,Other Single weapon Routines,C
