"","X","Team","Athlete","Score","Sex","Group","Form"
"1",1,"USA","Dennis DONG",8.42,"M","Group A","Other Traditional Weapon"
"2",2,"USA","Jayden CANDRA",8.2,"M","Group A","Other Traditional Weapon"
"3",3,"USA","Nicholas GUDANIS",8.18,"M","Group A","Other Traditional Weapon"
"4",4,"USA","Albert LIU",8.13,"M","Group A","Other Traditional Weapon"
"5",5,"USA","Dennis DONG",8.23,"M","Group A","Other Types of Traditional Styles"
"6",6,"USA","Jayden CANDRA",8.18,"M","Group A","Other Types of Traditional Styles"
"7",7,"USA","Nicholas GUDANIS",8.15,"M","Group A","Other Types of Traditional Styles"
"8",8,"USA","Albert LIU",8.09,"M","Group A","Other Types of Traditional Styles"
"9",9,"GEO","Saba GOGIA",8.47,"M","Group B","Cha Quan"
"10",10,"USA","Justin SHEN",8.35,"M","Group B","Cha Quan"
"11",11,"GEO","Nikoloz NUTSUBIDZE",8.34,"M","Group B","Cha Quan"
"12",12,"USA","Santiago PALOMINO",8.21,"M","Group B","Cha Quan"
"13",13,"USA","Andres PALOMINO",8.18,"M","Group B","Cha Quan"
"14",14,"USA","Devin MINANO",8.15,"M","Group B","Cha Quan"
"15",15,"GEO","Saba GOGIA",8.65,"M","Group B","Gun (Cudgel/Staff)"
"16",16,"GEO","Nikoloz NUTSUBIDZE",8.63,"M","Group B","Gun (Cudgel/Staff)"
"17",17,"USA","Lucas TAM",8.59,"M","Group B","Gun (Cudgel/Staff)"
"18",18,"USA","Marshall Tsan-wei BRAYTON",8.48,"M","Group B","Gun (Cudgel/Staff)"
"19",19,"USA","Bryant WANG",8.47,"M","Group B","Gun (Cudgel/Staff)"
"20",20,"USA","Elijah YU",8.44,"M","Group B","Gun (Cudgel/Staff)"
"21",21,"USA","Kenny PHAN",8.36,"M","Group B","Gun (Cudgel/Staff)"
"22",22,"USA","Jake MA",8.34,"M","Group B","Gun (Cudgel/Staff)"
"23",23,"USA","Jonathan QIU",8.33,"M","Group B","Gun (Cudgel/Staff)"
"24",24,"USA","Devin MINANO",8.32,"M","Group B","Gun (Cudgel/Staff)"
"25",25,"GER","David KLEINSCHMIDT",8.31,"M","Group B","Gun (Cudgel/Staff)"
"26",26,"MAS","Christian SIAH",8.3,"M","Group B","Gun (Cudgel/Staff)"
"27",27,"USA","Isaac WU",8.27,"M","Group B","Gun (Cudgel/Staff)"
"28",28,"BRA","Luiz Felipe SEBASTIAO MARINS",8.24,"M","Group B","Gun (Cudgel/Staff)"
"29",29,"USA","Lucas DONG",8.71,"M","Group B","Other Traditional Weapon"
"30",30,"USA","Lucas DONG",8.7,"M","Group B","Other Traditional Weapon"
"31",31,"USA","Raiden GUNAWAN",8.67,"M","Group B","Other Traditional Weapon"
"32",32,"USA","Jamie WHITFORD",8.66,"M","Group B","Other Traditional Weapon"
"33",33,"USA","Lianhan LI",8.66,"M","Group B","Other Traditional Weapon"
"34",34,"USA","Jasper Zhen Bao LI",8.66,"M","Group B","Other Traditional Weapon"
"35",35,"EGY","Zyad MOHAMED",8.65,"M","Group B","Other Traditional Weapon"
"36",36,"USA","Kaden WONG",8.63,"M","Group B","Other Traditional Weapon"
"37",37,"TPE","Hao Zhe YOU",8.61,"M","Group B","Other Traditional Weapon"
"38",38,"USA","Justin SHEN",8.6,"M","Group B","Other Traditional Weapon"
"39",39,"CUB","Hailong VARGAS TAO",8.57,"M","Group B","Other Traditional Weapon"
"40",40,"USA","Lyubomir TZANKOV",8.55,"M","Group B","Other Traditional Weapon"
"41",41,"USA","Landau TZOU",8.5,"M","Group B","Other Traditional Weapon"
"42",42,"USA","Brad WU",8.48,"M","Group B","Other Traditional Weapon"
"43",43,"USA","Zenryu YEE",8.47,"M","Group B","Other Traditional Weapon"
"44",44,"CAN","Max Si-cheng DONG",8.45,"M","Group B","Other Traditional Weapon"
"45",45,"USA","Timothy JIANG",8.43,"M","Group B","Other Traditional Weapon"
"46",46,"POL","Mieszko Leszek PRZYGODA",8.41,"M","Group B","Other Traditional Weapon"
"47",47,"USA","Donghe ZHANG",8.4,"M","Group B","Other Traditional Weapon"
"48",48,"USA","Ashvik VADLAMANI",8.4,"M","Group B","Other Traditional Weapon"
"49",49,"USA","Santiago PALOMINO",8.39,"M","Group B","Other Traditional Weapon"
"50",50,"CAN","Rui Lang WANG",8.38,"M","Group B","Other Traditional Weapon"
"51",51,"MAS","Wei Ming CHUA",8.38,"M","Group B","Other Traditional Weapon"
"52",52,"IND","Sarthak VERMA",8.36,"M","Group B","Other Traditional Weapon"
"53",53,"USA","Andres PALOMINO",8.35,"M","Group B","Other Traditional Weapon"
"54",54,"USA","Miles LIU",8.33,"M","Group B","Other Traditional Weapon"
"55",55,"USA","Augustin YIM",8.32,"M","Group B","Other Traditional Weapon"
"56",56,"USA","Kenneth CHOW",8.3,"M","Group B","Other Traditional Weapon"
"57",57,"USA","Anand GARAI",8.29,"M","Group B","Other Traditional Weapon"
"58",58,"USA","Kent Conrad EISMA",8.28,"M","Group B","Other Traditional Weapon"
"59",59,"TJK","Saidafzal IKROMOV",NA,"M","Group B","Other Traditional Weapon"
"60",60,"IND","VERMA SARTHAK",NA,"M","Group B","Other Traditional Weapon"
"61",61,"CUB","Hailong VARGAS TAO",8.46,"M","Group B","Other Types of Traditional Styles"
"62",62,"EGY","Zyad MOHAMED",8.42,"M","Group B","Other Types of Traditional Styles"
"63",63,"USA","Kaden WONG",8.4,"M","Group B","Other Types of Traditional Styles"
"64",64,"USA","Lucas DONG",8.4,"M","Group B","Other Types of Traditional Styles"
"65",65,"TPE","Hao Zhe YOU",8.37,"M","Group B","Other Types of Traditional Styles"
"66",66,"USA","Lucas DONG",8.36,"M","Group B","Other Types of Traditional Styles"
"67",67,"USA","Zenryu YEE",8.34,"M","Group B","Other Types of Traditional Styles"
"68",68,"USA","Lianhan LI",8.32,"M","Group B","Other Types of Traditional Styles"
"69",69,"USA","Kenneth CHOW",8.3,"M","Group B","Other Types of Traditional Styles"
"70",70,"USA","Lucas TAM",8.3,"M","Group B","Other Types of Traditional Styles"
"71",71,"MAS","Christian SIAH",8.29,"M","Group B","Other Types of Traditional Styles"
"72",72,"USA","Landau TZOU",8.29,"M","Group B","Other Types of Traditional Styles"
"73",73,"USA","Marshall Tsan-wei BRAYTON",8.28,"M","Group B","Other Types of Traditional Styles"
"74",74,"USA","Kent Conrad EISMA",8.28,"M","Group B","Other Types of Traditional Styles"
"75",75,"USA","Raiden GUNAWAN",8.27,"M","Group B","Other Types of Traditional Styles"
"76",76,"USA","Brad WU",8.27,"M","Group B","Other Types of Traditional Styles"
"77",77,"USA","Lyubomir TZANKOV",8.26,"M","Group B","Other Types of Traditional Styles"
"78",78,"USA","Miles LIU",8.26,"M","Group B","Other Types of Traditional Styles"
"79",79,"USA","Isaac WU",8.26,"M","Group B","Other Types of Traditional Styles"
"80",80,"USA","Augustin YIM",8.25,"M","Group B","Other Types of Traditional Styles"
"81",81,"CAN","Rui Lang WANG",8.24,"M","Group B","Other Types of Traditional Styles"
"82",82,"AUS","Daniel LIN",8.23,"M","Group B","Other Types of Traditional Styles"
"83",83,"USA","Donghe ZHANG",8.2,"M","Group B","Other Types of Traditional Styles"
"84",84,"GER","David KLEINSCHMIDT",8.19,"M","Group B","Other Types of Traditional Styles"
"85",85,"USA","Bryant WANG",8.19,"M","Group B","Other Types of Traditional Styles"
"86",86,"MAS","Wei Ming CHUA",8.18,"M","Group B","Other Types of Traditional Styles"
"87",87,"USA","Jake MA",8.16,"M","Group B","Other Types of Traditional Styles"
"88",88,"USA","Jonathan QIU",8.13,"M","Group B","Other Types of Traditional Styles"
"89",89,"USA","Timothy JIANG",8.13,"M","Group B","Other Types of Traditional Styles"
"90",90,"USA","Elijah YU",8.1,"M","Group B","Other Types of Traditional Styles"
"91",91,"USA","Kenny PHAN",8.1,"M","Group B","Other Types of Traditional Styles"
"92",92,"BRA","Luiz Felipe SEBASTIAO MARINS",8.08,"M","Group B","Other Types of Traditional Styles"
"93",93,"USA","Ashvik VADLAMANI",8.04,"M","Group B","Other Types of Traditional Styles"
"94",94,"USA","Anand GARAI",8.02,"M","Group B","Other Types of Traditional Styles"
"95",95,"TJK","Saidafzal IKROMOV",NA,"M","Group B","Other Types of Traditional Styles"
"96",96,"USA","Jasper Zhen Bao LI",8.44,"M","Group B","Southern Styles Nanquan"
"97",97,"CAN","Max Si-cheng DONG",8.36,"M","Group B","Southern Styles Nanquan"
"98",98,"USA","Jamie WHITFORD",8.35,"M","Group B","Southern Styles Nanquan"
"99",99,"POL","Mieszko Leszek PRZYGODA",8.29,"M","Group B","Southern Styles Nanquan"
"100",100,"IND","Sarthak VERMA",NA,"M","Group B","Southern Styles Nanquan"
"101",101,"IND","VERMA SARTHAK",NA,"M","Group B","Southern Styles Nanquan"
"102",102,"USA","Samuel WANG",8.6,"M","Group C","Baji Quan"
"103",103,"USA","Evan XU",8.57,"M","Group C","Baji Quan"
"104",104,"USA","Kenny LIANG",8.54,"M","Group C","Baji Quan"
"105",105,"TUN","Ahmed ESSID",8.54,"M","Group C","Baji Quan"
"106",106,"EGY","Mohamed Osama Abdelsalam ELAZAB",8.51,"M","Group C","Baji Quan"
"107",107,"USA","Banyan JULLIAN",8.45,"M","Group C","Baji Quan"
"108",108,"USA","Aspen SHEN",8.44,"M","Group C","Baji Quan"
"109",109,"USA","Jaden AGIN",8.42,"M","Group C","Baji Quan"
"110",110,"FRA","Andre-gabriel METZMACHER",8.41,"M","Group C","Baji Quan"
"111",111,"SRI","Yasintha Randunu Karunarathna GAMAGE MUDIYANSELAGE",8.33,"M","Group C","Baji Quan"
"112",112,"SRI","Deneth Sankalpa Ranthilaka CHINAGAHA KUBURE GEDARA",8.3,"M","Group C","Baji Quan"
