"","Form","Group A","Group B","Group C","Group D","Group E","Group F"
"1","Double-weapon routines ",7.61666666666667,8.453,NA,NA,8.54285714285714,NA
"2","Fifth-type bare-hand routines_Shaolinquan ",7.23428571428571,8.32210526315789,8.37107142857143,8.63132075471698,8.58615384615385,NA
"3","First-type bare-hand routines_Bajiquan ",7.35,8.36142857142857,NA,8.70230769230769,NA,NA
"4","Fourth-type bare-hand routine_Chaquan ",7.348,8.38866666666667,8.459,8.78166666666667,NA,NA
"5","Nanquan-type routines_Cailifoquan (Choy Lay Fut) ",7.47833333333333,NA,8.57,8.69888888888889,8.66666666666667,NA
"6","Nanquan-type routines_Other routines ",7.555,NA,8.52,8.60138888888889,8.58555555555555,NA
"7","Other bare-hand routines_",7.41875,NA,NA,NA,NA,NA
"8","Single-weapon routines_ Taiji weapon ",7.48,NA,NA,NA,NA,NA
"9","Single-weapon routines_Dao (Broadsword) ",7.39529411764706,8.41590909090909,8.4224,8.68459459459459,8.45,NA
"10","Single-weapon routines_Gun (Cudgel/Staff)",7.2835,8.40533333333333,8.406,8.56307692307692,8.49166666666667,NA
"11","Single-weapon routines_Jian (Straight Sword) ",7.59,8.40357142857143,8.42142857142857,8.67342857142857,8.54058823529412,NA
"12","Single-weapon routines_Other routines ",7.615,NA,NA,8.65916666666667,8.513,8.50923076923077
"13","Single-weapon routines_Pudao ",7.45,NA,8.38142857142857,8.75857142857143,NA,NA
"14","Single-weapon routines_Taiji weapon ",7.37,8.44222222222222,NA,NA,NA,NA
"15","Single/Soft-weapon routines_Others ",7.55,NA,NA,NA,NA,NA
"16","Taijiquan-type routines_Other routines ",7.41166666666667,8.35933333333333,NA,8.69071428571429,8.43052631578947,8.48692307692308
"17","Third-type bare-hand routines ",7.38642857142857,8.39846153846154,8.47357142857143,8.63416666666667,NA,NA
"18","bare-hand routines_Other routines ",7.33333333333333,8.316,8.39217391304348,8.81526315789474,8.65518518518519,8.3825
"19","weapon -Other routines ",7.47875,NA,NA,NA,NA,NA
"20","Nanquan-type routines ",NA,8.4424,8.46,NA,8.50375,NA
"21","Second-type bare-hand routine ",NA,8.435,NA,NA,NA,NA
"22","Single-weapon routines -Other routines ",NA,8.38714285714286,NA,NA,NA,NA
"23","Single-weapon routines_42-posture Taijijian ",NA,8.43909090909091,8.51666666666667,8.62142857142857,8.63857142857143,8.451
"24","Single-weapon routines_Gun (Cudgel/Staff) ",NA,8.37857142857143,NA,NA,NA,NA
"25","Single-weapon routines_Pudao/Dadao ",NA,8.345,NA,NA,NA,NA
"26","Single-weapon routines_Qiang (Spear) ",NA,8.50333333333333,8.455,8.62727272727273,8.63285714285714,NA
"27","Taijiquan-type routines_42-posture Taijiquan ",NA,8.38636363636364,8.48833333333333,8.588,8.5475,8.53333333333333
"28","bare-hand routines -Other routines ",NA,8.28,NA,NA,NA,NA
"29","weapon routines-Other routines ",NA,8.4725,NA,NA,NA,NA
"30","Double-weapon routines_Other routines ",NA,NA,8.404375,8.51705882352941,NA,NA
"31","Double-weapon routines_Shuangdao (Double Broadsword) ",NA,NA,8.452,8.63538461538462,NA,NA
"32","Double-weapon routines_Shuangjian (Double Straight Sword) ",NA,NA,8.49166666666667,8.645,NA,NA
"33","First-type bare-hand routines ",NA,NA,8.53428571428571,NA,8.7425,NA
"34","Flexible/Soft-weapon routines ",NA,NA,8.47666666666667,8.68428571428571,NA,NA
"35","Flexible/Soft-weapon routines_Jiujiebian ",NA,NA,8.455,NA,NA,NA
"36","Nanquan-type routines_Hongjiaquan (Hung Gar)",NA,NA,8.525,8.67428571428571,8.72571428571429,NA
"37","Nanquan-type routines_Yongchunquan (Wing Chun) ",NA,NA,8.41666666666667,8.61,NA,NA
"38","Single-weapon routines -Taiji weapon ",NA,NA,8.435,NA,NA,NA
"39","Single-weapon routines_Guandao (Kwan Dao)",NA,NA,8.62058823529412,NA,NA,NA
"40","Single-weapon routines_Nandao (Southern Broadsword) ",NA,NA,8.53666666666667,8.922,NA,NA
"41","Single-weapon routines_Other Taijijian ",NA,NA,8.39285714285714,8.725,8.44285714285714,NA
"42","Single-weapon routines_Taijishan ",NA,NA,8.49166666666667,8.67428571428571,8.565,8.506
"43","Taijiquan-type routines ",NA,NA,8.47,NA,NA,NA
"44","Taijiquan-type routines_Other Taijiquan ",NA,NA,8.4275,NA,NA,8.42666666666667
"45","Third-type bare-hand routines _Other routines ",NA,NA,8.29666666666667,NA,NA,NA
"46","Third-type bare-hand routines_Yingzhaoquan (Eagle Style) ",NA,NA,8.466,8.75375,NA,NA
"47","Double-weapon routines_Shuangbishou (Double Daggers) ",NA,NA,NA,8.62666666666667,NA,NA
"48","First-type bare-hand routines _Other routines ",NA,NA,NA,8.84166666666667,NA,NA
"49","First-type bare-hand routines_Baguazhang ",NA,NA,NA,8.61153846153846,NA,NA
