Team,Athlete,Score,Form
USA,Dennis DONG,8.42,Men's Group A Other Traditional Weapon
USA,Jayden CANDRA,8.2,Men's Group A Other Traditional Weapon
USA,Nicholas GUDANIS,8.18,Men's Group A Other Traditional Weapon
USA,Albert LIU,8.13,Men's Group A Other Traditional Weapon
USA,Dennis DONG,8.23,Men's Group A Other Types of Traditional Styles
USA,Jayden CANDRA,8.18,Men's Group A Other Types of Traditional Styles
USA,Nicholas GUDANIS,8.15,Men's Group A Other Types of Traditional Styles
USA,Albert LIU,8.09,Men's Group A Other Types of Traditional Styles
GEO,Saba GOGIA,8.47,Men's Group B Cha Quan
USA,Justin SHEN,8.35,Men's Group B Cha Quan
GEO,Nikoloz NUTSUBIDZE,8.34,Men's Group B Cha Quan
USA,Santiago PALOMINO,8.21,Men's Group B Cha Quan
USA,Andres PALOMINO,8.18,Men's Group B Cha Quan
USA,Devin MINANO,8.15,Men's Group B Cha Quan
GEO,Saba GOGIA,8.65,Men's Group B Gun (Cudgel/Staff)
GEO,Nikoloz NUTSUBIDZE,8.63,Men's Group B Gun (Cudgel/Staff)
USA,Lucas TAM,8.59,Men's Group B Gun (Cudgel/Staff)
USA,Marshall Tsan-wei BRAYTON,8.48,Men's Group B Gun (Cudgel/Staff)
USA,Bryant WANG,8.47,Men's Group B Gun (Cudgel/Staff)
USA,Elijah YU,8.44,Men's Group B Gun (Cudgel/Staff)
USA,Kenny PHAN,8.36,Men's Group B Gun (Cudgel/Staff)
USA,Jake MA,8.34,Men's Group B Gun (Cudgel/Staff)
USA,Jonathan QIU,8.33,Men's Group B Gun (Cudgel/Staff)
USA,Devin MINANO,8.32,Men's Group B Gun (Cudgel/Staff)
GER,David KLEINSCHMIDT,8.31,Men's Group B Gun (Cudgel/Staff)
MAS,Christian SIAH,8.3,Men's Group B Gun (Cudgel/Staff)
USA,Isaac WU,8.27,Men's Group B Gun (Cudgel/Staff)
BRA,Luiz Felipe SEBASTIAO MARINS,8.24,Men's Group B Gun (Cudgel/Staff)
USA,Lucas DONG,8.71,Men's Group B Other Traditional Weapon
USA,Lucas DONG,8.7,Men's Group B Other Traditional Weapon
USA,Raiden GUNAWAN,8.67,Men's Group B Other Traditional Weapon
USA,Jamie WHITFORD,8.66,Men's Group B Other Traditional Weapon
USA,Lianhan LI,8.66,Men's Group B Other Traditional Weapon
USA,Jasper Zhen Bao LI,8.66,Men's Group B Other Traditional Weapon
EGY,Zyad MOHAMED,8.65,Men's Group B Other Traditional Weapon
USA,Kaden WONG,8.63,Men's Group B Other Traditional Weapon
TPE,Hao Zhe YOU,8.61,Men's Group B Other Traditional Weapon
USA,Justin SHEN,8.6,Men's Group B Other Traditional Weapon
CUB,Hailong VARGAS TAO,8.57,Men's Group B Other Traditional Weapon
USA,Lyubomir TZANKOV,8.55,Men's Group B Other Traditional Weapon
USA,Landau TZOU,8.5,Men's Group B Other Traditional Weapon
USA,Brad WU,8.48,Men's Group B Other Traditional Weapon
USA,Zenryu YEE,8.47,Men's Group B Other Traditional Weapon
CAN,Max Si-cheng DONG,8.45,Men's Group B Other Traditional Weapon
USA,Timothy JIANG,8.43,Men's Group B Other Traditional Weapon
POL,Mieszko Leszek PRZYGODA,8.41,Men's Group B Other Traditional Weapon
USA,Donghe ZHANG,8.4,Men's Group B Other Traditional Weapon
USA,Ashvik VADLAMANI,8.4,Men's Group B Other Traditional Weapon
USA,Santiago PALOMINO,8.39,Men's Group B Other Traditional Weapon
CAN,Rui Lang WANG,8.38,Men's Group B Other Traditional Weapon
MAS,Wei Ming CHUA,8.38,Men's Group B Other Traditional Weapon
IND,Sarthak VERMA,8.36,Men's Group B Other Traditional Weapon
USA,Andres PALOMINO,8.35,Men's Group B Other Traditional Weapon
USA,Miles LIU,8.33,Men's Group B Other Traditional Weapon
USA,Augustin YIM,8.32,Men's Group B Other Traditional Weapon
USA,Kenneth CHOW,8.3,Men's Group B Other Traditional Weapon
USA,Anand GARAI,8.29,Men's Group B Other Traditional Weapon
USA,Kent Conrad EISMA,8.28,Men's Group B Other Traditional Weapon
TJK,Saidafzal IKROMOV,,Men's Group B Other Traditional Weapon
IND,VERMA SARTHAK,,Men's Group B Other Traditional Weapon
CUB,Hailong VARGAS TAO,8.46,Men's Group B Other Types of Traditional Styles
EGY,Zyad MOHAMED,8.42,Men's Group B Other Types of Traditional Styles
USA,Kaden WONG,8.4,Men's Group B Other Types of Traditional Styles
USA,Lucas DONG,8.4,Men's Group B Other Types of Traditional Styles
TPE,Hao Zhe YOU,8.37,Men's Group B Other Types of Traditional Styles
USA,Lucas DONG,8.36,Men's Group B Other Types of Traditional Styles
USA,Zenryu YEE,8.34,Men's Group B Other Types of Traditional Styles
USA,Lianhan LI,8.32,Men's Group B Other Types of Traditional Styles
USA,Kenneth CHOW,8.3,Men's Group B Other Types of Traditional Styles
USA,Lucas TAM,8.3,Men's Group B Other Types of Traditional Styles
MAS,Christian SIAH,8.29,Men's Group B Other Types of Traditional Styles
