,sex,Form,Group,Rank,Team,Athlete,Score,Remark
1,M,First-type bare-hand routines_Bajiquan ,Group D,1,CHN,WU Hao,9.21,Gold
2,M,First-type bare-hand routines_Bajiquan ,Group D,2,HKG,YEUNG Cheuk Yin,9.12,Silver
3,M,First-type bare-hand routines_Bajiquan ,Group D,3,EGY,Moaz Mahmoud Fathy Sayed,9.06,Bronze
4,M,First-type bare-hand routines_Bajiquan ,Group D,4,FRA,Wilfried MAQUIN,8.93,Second Prize
5,M,First-type bare-hand routines_Bajiquan ,Group D,5,HKG,YU Pui Lam,8.92,Second Prize
6,M,First-type bare-hand routines_Bajiquan ,Group D,6,TUR,Yusuf Sadi ACAR,8.91,Second Prize
7,M,First-type bare-hand routines_Bajiquan ,Group D,7,MEX,Carlos Omar SIERRA VILLAR,8.87,Third Prize
8,M,First-type bare-hand routines_Bajiquan ,Group D,8,SGP,KALUARACHCHI Devin Tharunuwan,8.84,Third Prize
9,M,First-type bare-hand routines_Bajiquan ,Group D,9,MAC,YUEN Kam Weng,8.8,Third Prize
10,M,First-type bare-hand routines_Bajiquan ,Group D,10,MEX,Luis Arturo GONZALEZ MARMOLEJO,8.79,Third Prize
11,M,First-type bare-hand routines_Bajiquan ,Group D,11,TJK,Fotekh TABAROV,8.78,Third Prize
12,M,First-type bare-hand routines_Bajiquan ,Group D,12,FRA,Anthony PLAIS,8.74,Third Prize
13,M,First-type bare-hand routines_Bajiquan ,Group D,13,IND,Amit KUMAR,8.66,
14,M,First-type bare-hand routines_Bajiquan ,Group D,14,USA,Daniel DOYLE,8.65,
15,M,First-type bare-hand routines_Bajiquan ,Group D,15,BEL,Jonathan VERHEYEN,8.64,
16,M,First-type bare-hand routines_Bajiquan ,Group D,16,AUS,Declan Joe UPPINGTON,8.62,
17,M,First-type bare-hand routines_Bajiquan ,Group D,17,USA,Mohammad ULLAH,8.59,
18,M,First-type bare-hand routines_Bajiquan ,Group D,18,MEX,Fitzgerald PARAGUAY URETA,8.1,
19,M,First-type bare-hand routines_Bajiquan ,Group D,Default,ITA,Ivo ZEDDA,NA,
20,M,First-type bare-hand routines_Bajiquan ,Group D,Default,TJK,Abdullo DAVLATZODA,NA,
21,M,First-type bare-hand routines _Other routines ,Group D,1,CHN,QUMU Yiguo,9.23,First Prize
22,M,First-type bare-hand routines _Other routines ,Group D,2,ITA,Ivo ZEDDA,8.89,Second Prize
23,M,First-type bare-hand routines _Other routines ,Group D,3,FRA,Virgile SICARD,8.8,Second Prize
24,M,First-type bare-hand routines _Other routines ,Group D,4,GER,Kai JANSEN,8.78,Third Prize
25,M,First-type bare-hand routines _Other routines ,Group D,5,IND,Rajat Prakash GUPTA,8.74,Third Prize
26,M,First-type bare-hand routines _Other routines ,Group D,6,FRA,Anouchith MICHANHOM,8.61,
27,M,First-type bare-hand routines _Other routines ,Group D,Default,ALG,Boutoubane YASSINE,NA,
28,M,Second-type bare-hand routine_Fanziqua ,Group D,1,CHN,ZHANG Yongbiao,9.3,First Prize
29,M,Second-type bare-hand routine_Fanziqua ,Group D,2,ESP,Francisco GARCIA MAZUECOS,9.07,Second Prize
30,M,Second-type bare-hand routine_Fanziqua ,Group D,3,JPN,ENOKAWA Oga,9.03,Second Prize
31,M,Second-type bare-hand routine_Fanziqua ,Group D,4,GEO,David GULISASHVILI,8.95,Third Prize
32,M,Second-type bare-hand routine_Fanziqua ,Group D,5,AIN,Dmitrii MININ,8.88,Third Prize
33,M,Second-type bare-hand routine_Fanziqua ,Group D,6,AUS,David HONG,8.51,Third Prize
34,M,Second-type bare-hand routine_Fanziqua ,Group D,7,AUS,Chun Tak Jaydon TSE,8.35,
35,M,Third-type bare-hand routines_Yingzhaoquan (Eagle Style) ,Group D,1,USA,Preston LAND,8.92,First Prize
36,M,Third-type bare-hand routines_Yingzhaoquan (Eagle Style) ,Group D,2,FRA,Alistair HAYOUN EGRETEAU,8.91,Second Prize
37,M,Third-type bare-hand routines_Yingzhaoquan (Eagle Style) ,Group D,3,UKR,Bohdan NAIDA,8.85,Second Prize
38,M,Third-type bare-hand routines_Yingzhaoquan (Eagle Style) ,Group D,4,ESP,Dan RIO RODRIGUEZ,8.83,Third Prize
39,M,Third-type bare-hand routines_Yingzhaoquan (Eagle Style) ,Group D,5,MEX,Angel Julian GOMEZ RODRIGUEZ,8.74,Third Prize
40,M,Third-type bare-hand routines_Yingzhaoquan (Eagle Style) ,Group D,6,MEX,Jesús Alfredo LIRA ACOSTA,8.73,Third Prize
41,M,Third-type bare-hand routines_Yingzhaoquan (Eagle Style) ,Group D,7,BRA,Dennis RODRIGUES MADRUGA,8.55,
42,M,Third-type bare-hand routines_Yingzhaoquan (Eagle Style) ,Group D,8,BRA,Fabio MOREIRA DE ARAUJO,8.5,
43,M,Third-type bare-hand routines_Tanglangquan (Mantis Style) ,Group D,1,CHN,LIU Zhiyong,9.2,First Prize
44,M,Third-type bare-hand routines_Tanglangquan (Mantis Style) ,Group D,2,LAT,Aleksandrs GORSKIS,9.07,Second Prize
45,M,Third-type bare-hand routines_Tanglangquan (Mantis Style) ,Group D,3,SGP,TEO Chee Wei,8.98,Second Prize
46,M,Third-type bare-hand routines_Tanglangquan (Mantis Style) ,Group D,4,TUR,Onur OZTURK,8.94,Third Prize
47,M,Third-type bare-hand routines_Tanglangquan (Mantis Style) ,Group D,5,FRA,Murphy MOU SANG,8.77,Third Prize
48,M,Third-type bare-hand routines_Tanglangquan (Mantis Style) ,Group D,6,BEL,Mathéo GOLLAS,8.7,Third Prize
