Sex,Form,Group,Team,Athlete,Score
M,First type bare hand routines Bajiquan,D,CHN,WU Hao,9.21
M,First type bare hand routines Bajiquan,D,HKG,YEUNG Cheuk Yin,9.12
M,First type bare hand routines Bajiquan,D,EGY,Moaz Mahmoud Fathy Sayed,9.06
M,First type bare hand routines Bajiquan,D,FRA,Wilfried MAQUIN,8.93
M,First type bare hand routines Bajiquan,D,HKG,YU Pui Lam,8.92
M,First type bare hand routines Bajiquan,D,TUR,Yusuf Sadi ACAR,8.91
M,First type bare hand routines Bajiquan,D,MEX,Carlos Omar SIERRA VILLAR,8.87
M,First type bare hand routines Bajiquan,D,SGP,KALUARACHCHI Devin Tharunuwan,8.84
M,First type bare hand routines Bajiquan,D,MAC,YUEN Kam Weng,8.8
M,First type bare hand routines Bajiquan,D,MEX,Luis Arturo GONZALEZ MARMOLEJO,8.79
M,First type bare hand routines Bajiquan,D,TJK,Fotekh TABAROV,8.78
M,First type bare hand routines Bajiquan,D,FRA,Anthony PLAIS,8.74
M,First type bare hand routines Bajiquan,D,IND,Amit KUMAR,8.66
M,First type bare hand routines Bajiquan,D,USA,Daniel DOYLE,8.65
M,First type bare hand routines Bajiquan,D,BEL,Jonathan VERHEYEN,8.64
M,First type bare hand routines Bajiquan,D,AUS,Declan Joe UPPINGTON,8.62
M,First type bare hand routines Bajiquan,D,USA,Mohammad ULLAH,8.59
M,First type bare hand routines Bajiquan,D,MEX,Fitzgerald PARAGUAY URETA,8.1
M,First type bare hand routines Other routines,D,CHN,QUMU Yiguo,9.23
M,First type bare hand routines Other routines,D,ITA,Ivo ZEDDA,8.89
M,First type bare hand routines Other routines,D,FRA,Virgile SICARD,8.8
M,First type bare hand routines Other routines,D,GER,Kai JANSEN,8.78
M,First type bare hand routines Other routines,D,IND,Rajat Prakash GUPTA,8.74
M,First type bare hand routines Other routines,D,FRA,Anouchith MICHANHOM,8.61
M,Second type bare hand routine Fanziqua,D,CHN,ZHANG Yongbiao,9.3
M,Second type bare hand routine Fanziqua,D,ESP,Francisco GARCIA MAZUECOS,9.07
M,Second type bare hand routine Fanziqua,D,JPN,ENOKAWA Oga,9.03
M,Second type bare hand routine Fanziqua,D,GEO,David GULISASHVILI,8.95
M,Second type bare hand routine Fanziqua,D,AIN,Dmitrii MININ,8.88
