Score,Group,Form
8.42,A,Other Traditional Weapon
8.2,A,Other Traditional Weapon
8.18,A,Other Traditional Weapon
8.13,A,Other Traditional Weapon
8.23,A,Other Types of Traditional Styles
8.18,A,Other Types of Traditional Styles
8.15,A,Other Types of Traditional Styles
8.09,A,Other Types of Traditional Styles
8.47,B,Cha Quan
8.35,B,Cha Quan
8.34,B,Cha Quan
8.21,B,Cha Quan
8.18,B,Cha Quan
8.15,B,Cha Quan
8.65,B,Gun (Cudgel/Staff)
8.63,B,Gun (Cudgel/Staff)
8.59,B,Gun (Cudgel/Staff)
8.48,B,Gun (Cudgel/Staff)
8.47,B,Gun (Cudgel/Staff)
8.44,B,Gun (Cudgel/Staff)
8.36,B,Gun (Cudgel/Staff)
8.34,B,Gun (Cudgel/Staff)
8.33,B,Gun (Cudgel/Staff)
8.32,B,Gun (Cudgel/Staff)
8.31,B,Gun (Cudgel/Staff)
8.3,B,Gun (Cudgel/Staff)
8.27,B,Gun (Cudgel/Staff)
8.24,B,Gun (Cudgel/Staff)
8.71,B,Other Traditional Weapon
8.7,B,Other Traditional Weapon
8.67,B,Other Traditional Weapon
8.66,B,Other Traditional Weapon
8.66,B,Other Traditional Weapon
8.66,B,Other Traditional Weapon
8.65,B,Other Traditional Weapon
8.63,B,Other Traditional Weapon
8.61,B,Other Traditional Weapon
8.6,B,Other Traditional Weapon
8.57,B,Other Traditional Weapon
8.55,B,Other Traditional Weapon
8.5,B,Other Traditional Weapon
8.48,B,Other Traditional Weapon
8.47,B,Other Traditional Weapon
8.45,B,Other Traditional Weapon
8.43,B,Other Traditional Weapon
8.41,B,Other Traditional Weapon
8.4,B,Other Traditional Weapon
8.4,B,Other Traditional Weapon
8.39,B,Other Traditional Weapon
8.38,B,Other Traditional Weapon
8.38,B,Other Traditional Weapon
8.36,B,Other Traditional Weapon
8.35,B,Other Traditional Weapon
8.33,B,Other Traditional Weapon
8.32,B,Other Traditional Weapon
8.3,B,Other Traditional Weapon
8.29,B,Other Traditional Weapon
8.28,B,Other Traditional Weapon
NA,B,Other Traditional Weapon
NA,B,Other Traditional Weapon
8.46,B,Other Types of Traditional Styles
8.42,B,Other Types of Traditional Styles
8.4,B,Other Types of Traditional Styles
8.4,B,Other Types of Traditional Styles
8.37,B,Other Types of Traditional Styles
8.36,B,Other Types of Traditional Styles
8.34,B,Other Types of Traditional Styles
8.32,B,Other Types of Traditional Styles
8.3,B,Other Types of Traditional Styles
8.3,B,Other Types of Traditional Styles
8.29,B,Other Types of Traditional Styles
8.29,B,Other Types of Traditional Styles
8.28,B,Other Types of Traditional Styles
8.28,B,Other Types of Traditional Styles
8.27,B,Other Types of Traditional Styles
8.27,B,Other Types of Traditional Styles
8.26,B,Other Types of Traditional Styles
8.26,B,Other Types of Traditional Styles
8.26,B,Other Types of Traditional Styles
8.25,B,Other Types of Traditional Styles
8.24,B,Other Types of Traditional Styles
8.23,B,Other Types of Traditional Styles
8.2,B,Other Types of Traditional Styles
8.19,B,Other Types of Traditional Styles
8.19,B,Other Types of Traditional Styles
8.18,B,Other Types of Traditional Styles
8.16,B,Other Types of Traditional Styles
8.13,B,Other Types of Traditional Styles
8.13,B,Other Types of Traditional Styles
8.1,B,Other Types of Traditional Styles
8.1,B,Other Types of Traditional Styles
8.08,B,Other Types of Traditional Styles
8.04,B,Other Types of Traditional Styles
8.02,B,Other Types of Traditional Styles
NA,B,Other Types of Traditional Styles
8.44,B,Southern Styles Nanquan
