"","Form_new","C","D","E"
"1","Other Traditional Single Weapon",8.51242424242424,8.74032258064516,8.80529411764706
"2","Other Types of Traditional Styles",8.37086956521739,8.91698113207547,8.80384615384615
"3","Cha Quan",8.44309523809524,8.87615384615385,8.79142857142857
"4","Gun (Cudgel/Staff)",8.54875,8.875,8.825
"5","Southern Styles Nanquan",8.42304347826087,8.90833333333333,8.655
"6","Baji Quan",8.475,8.87615384615385,8.825
"7","Dao (Broadsword)",8.53,8.90448275862069,8.76
"8","Ditang Quan",8.44625,8.87272727272727,8.79142857142857
"9","Fan",8.40555555555556,8.85,8.78642857142857
"10","Hua Quan",8.46434782608696,8.87272727272727,8.825
"11","Imitation Eagle Style",8.51076923076923,8.86,8.825
"12","Imitation Other Styles",8.423,8.96384615384615,8.731875
"13","Imitation Tang Lang Styles",8.458,8.87272727272727,8.825
"14","Jian (Straight Sword)",8.1624,8.89185185185185,8.954
"15","Jiu Jie Bian (Nine Section Whip Chain)",8.45555555555556,8.84714285714286,8.825
"16","Nan Dao (Southern Broadsword)",8.43,8.87272727272727,8.731875
"17","Nan Gun (Southern Staff/Cudgel)",8.50111111111111,8.88875,8.825
"18","Other Southern Styles Nanquan",8.32,8.87344827586207,8.864
"19","Other Taijiquan",8.78,8.88476190476191,8.85
"20","Other Traditional Double Weapon",8.62928571428571,8.84322580645161,8.825
"21","Other Traditional Flexible/Soft Weapon",8.52166666666667,8.892,8.825
"22","P Dao(Kwan Dao)",8.7665,8.91,8.82444444444444
"23","Qiang (Spear)",8.66714285714286,8.91,8.82444444444444
"24","Shaolin Gun",8.54111111111111,8.9575,8.79142857142857
"25","Shaolin Quan",8.47882352941176,8.8740625,8.87111111111111
"26","Shuang Dao (Double Broadsword)",8.59181818181818,8.97833333333333,8.80125
"27","Shuang Jian",8.53,8.9575,8.79142857142857
"28","Taiji Jian (Including 42 Posture Taiji Jian)",8.5495652173913,8.9575,8.80125
"29","Tongbei Quan",8.52125,8.90448275862069,8.76
"30","Traditional Double Weapon",8.532,8.9575,8.79142857142857
"31","Traditional Flexible/Soft Weapon",8.506,8.89,8.825
"32","Xingyi Quan",8.44285714285714,8.942,8.76
"33","Yang Style Taijiquan",8.8975,8.91888888888889,8.802
"34","Zui Jian (Drunken Sword)",8.83142857142857,8.91,8.82444444444444
"35","Bagua Zhang",8.53,8.9575,8.79142857142857
"36","Chen Style Taiji Jian",8.54875,8.90833333333333,8.80125
"37","Chen Style Taijiquan",8.51242424242424,8.735,8.87125
"38","Choy Lay Fut Kune (Cailifo Quan)",8.43,8.86863636363636,8.731875
"39","Compulsory Yang Style Taijiquan",8.53,9.01,8.79142857142857
"40","Fanzi Quan",8.53,8.975,8.79142857142857
"41","Guandao (Kwan Dao)",8.52166666666667,8.89285714285714,8.825
"42","Hung Gar Kune (Hongjia Quan)",8.43,8.86769230769231,8.78642857142857
"43","Imitation Styles",8.52166666666667,8.92714285714286,8.79142857142857
"44","Other Taiji Jian",8.54875,8.86611111111111,8.78642857142857
"45","Pudao",8.52166666666667,8.91125,8.76
"46","Traditional Chen Style Taijiquan",8.54875,8.94076923076923,8.82444444444444
"47","Wing Chun Kune (Yongchun Quan)",8.45555555555556,8.83444444444444,8.825
"48","Yang Style Taiji Weapon",8.50111111111111,8.89,8.825
"49","Other Taiji Weapon",8.44625,8.90833333333333,8.731875
"50","Posture Taiji Jian",8.44625,8.90833333333333,8.67608695652174
"51","Posture Taijiquan",8.44625,8.90833333333333,8.79142857142857
"52","Traditional Yang Style Taijiquan",8.458,8.8740625,8.864
"53","Yang Style Taiji Jian",8.44625,8.90833333333333,8.76
"54","Other Traditional Taijiquan",8.46434782608696,8.87272727272727,8.825
