Name,Age,AgeClass,BodyweightKg,Squat,Bench,Deadlift,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Date,AgeClassInd
Lola Le Glevic,15,13-15,70.1,70,32.5,80,182.5,3,184.41,181.38,159.88,37.48,2018-12-15,0
Chelsea Ballard,14.5,13-15,48,43.09,31.75,70.31,145.15,1,187.31,192.24,171.11,31.31,2002-04-06,0
Mariam Miyzed,13,13-15,49.8,63.5,31.7,86.1,181.3,1,227.82,233.61,207.48,47.56,2022-06-25,0
Lyla Zuniga,13,13-15,47.5,42.5,27.5,60,130,1,169.05,173.5,154.54,35.66,2025-12-06,0
Taylor Doyle,14.5,13-15,57.66,35,25,72.5,132.5,1,150.67,152.37,134.71,30.82,2019-02-09,0
Darya Ivanova #9,14.5,13-15,51.55,65,32.5,82.5,180,4,220.74,225.9,200.31,36.88,2014-10-25,0
Radhika Hurria,14,13-15,51.3,87.5,42.5,107.5,237.5,4,292.24,299.18,265.34,60.68,2022-04-09,0
Aleigha Lashbrook,14.5,13-15,51.5,52.5,32.5,72.5,157.5,5,193.27,197.81,175.41,40.1,2017-11-18,0
Ruby Christian,14.5,13-15,78.2,75,42.5,75,192.5,1,183.47,178.44,156.67,37.46,2023-10-14,0
Addison Meckley,14.5,13-15,74.2,110,52.5,120,282.5,17,276.72,270.38,237.93,56.34,2024-03-02,0
Naomi Gray,15,13-15,82.5,97.52,61.23,136.08,294.84,1,273.65,265.35,232.27,56.08,2023-01-23,0
Magdalen Beach,15,13-15,80.74,110,42.5,107.5,260,1,243.87,236.7,207.47,49.9,2018-07-29,0
Alesia Corteaux,14.5,13-15,53.2,80,45,92.5,217.5,6,260.97,266.39,235.94,43.61,2016-11-19,0
N. Bedrin,14.5,13-15,49.4,95,35,100,230,4,290.69,298.17,264.93,48.57,2017-04-02,0
Darya Nasonova,13.5,13-15,56.6,110,45,120,275,2,316.52,320.87,283.77,52.95,2018-06-07,0
Natalya Tkachyova,14.5,13-15,58.7,85,60,100,245,2,275.4,277.84,245.56,56.24,2021-02-28,0
Alana Malone,12.5,13-15,56.5,35,27.5,65,127.5,1,146.92,148.98,131.75,30.11,2018-05-05,0
Katherine Seitz,12.5,13-15,47.54,80,47.5,80,207.5,3,269.66,276.76,246.51,56.88,2021-06-14,0
Annie Hennen,14.5,13-15,66.5,95,60,117.5,272.5,1,283.78,281.13,248.06,57.66,2019-04-13,0
Varvara Kryuchkova,14.5,13-15,84,100,42.5,120,262.5,4,241.54,234.08,204.64,49.57,2017-02-08,0
Lina Egenolf,16.5,16-17,99.65,65,40,85,190,2,162.36,158.35,136.1,33.92,2018-09-08,0
Jimisha Thomas,16.5,16-17,65.74,180,75,180,435,4,456.07,452.57,399.4,76.7,2021-05-27,0
Veronika Letkepová,16.5,16-17,56.5,85,55,87.5,227.5,1,262.16,265.82,235.09,43.85,2011-02-05,0
Lyudmila Semenova,15.5,16-17,47.4,65,30,60,155,1,201.87,207.18,184.57,42.61,2013-10-08,0
Queen Underwood,16.5,16-17,67.5,130,67.5,162.5,360,1,371.66,367.42,324.12,62.59,2002-02-09,0
Gloria Beltrami,16.5,16-17,56.94,110,60,120,290,3,332.48,336.79,297.81,68.08,2025-02-15,0
