Name,Age,AgeClass,BodyweightKg,Squat,Bench,Deadlift,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Date,AgeClassInd
Maksim Abasov,12.5,13-15,45.65,45,37.5,65,147.5,5,161.14,167.23,165.74,28.02,2016-04-16,0
Artyom Osipenko,14,13-15,92.6,127.5,65,135,327.5,1,208.81,206.16,197.35,42.93,2020-10-31,0
Gennadiy Malgataev,14.5,13-15,59,80,75,120,275,1,235.36,238.2,232.82,40.04,2016-03-26,0
I. Genkel,14.5,13-15,91.8,275,160,255,690,1,441.79,436.17,417.67,75.34,2013-07-05,0
Sergey Serikov,14.5,13-15,57.7,130,80,135,345,12,300.89,305.15,298.65,51.11,1997-03-20,0
John Johnston,15,13-15,74.8,183.7,90.72,199.58,474,7,340.64,338.38,327,58.34,2007-03-09,0
Eduard Plakhotnikov,14.5,13-15,65.8,200,130,237.5,567.5,2,445.65,446.71,434.14,76.18,2013-10-02,0
Rage Henderson,14.5,13-15,91.4,172.5,105,177.5,455,1,291.95,288.23,276.06,60.03,2025-03-01,0
Nicholas Sutton,14,13-15,67.5,90,57.5,122.5,270,3,208.1,208.17,202.07,41.59,2012-07-01,0
V. Granovskiy,12.5,13-15,39.7,87.5,47.5,102.5,237.5,1,301.89,317.16,314.53,49.3,2013-07-05,0
Chace Cairns,15,13-15,140,170,100,190,460,1,252.09,257.05,244.33,50.14,2025-11-29,0
Danila Lapin,13.5,13-15,79.5,150,95,140,385,6,266.46,263.89,254.33,45.61,2016-05-15,0
Joseph Darcy,13,13-15,46.25,62.5,37.5,92.5,192.5,1,207.39,214.96,212.94,36.31,2025-06-21,0
Shane McCarty,15,13-15,66.7,130,60,135,325,1,252.67,253,245.72,50.38,2014-10-31,0
Elijah Aldred,15,13-15,76.85,155,127,170,452,6,319.34,316.76,305.74,65.07,2025-06-07,0
Gulam Hussain Jilani,12.5,13-15,65.2,112.5,57.5,115,285,19,225.35,226.05,219.78,44.71,2022-04-09,0
Julio Miguel Rodriguez Bueno,14.5,13-15,51.1,25,20,25,70,4,68.17,69.97,68.97,12.51,2024-04-04,0
Sergey Ulanov,14.5,13-15,59,140,100,150,390,7,333.79,337.81,330.19,56.78,2012-11-15,0
Teddy Cottet,14,13-15,54.01,87.5,55,87.5,230,3,212.65,217.05,213.27,39.91,2018-03-31,0
Nikolay Naydyonov,14.5,13-15,72.1,120,75,155,350,8,257.66,256.54,248.29,52.08,2012-12-13,0
