X,Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
484904,Ken Diwa,M,SBD,Multi-ply,15,13-15,14-18,M_TEM_1_APF,69.85,75,NA,NA,NA,NA,142.5,NA,NA,NA,NA,85,NA,NA,NA,NA,140,367.5,1,276.46,275.85,267.36,47.32,,,,APF,WPC,2000-04-15,USA,CA,Burbank,California State & LALC Invitational,Yes
365652,Ivan Nagushev,M,SBD,Raw,14.5,13-15,14-18,Open,58.6,59,NA,NA,NA,NA,85,NA,NA,NA,NA,45,NA,NA,NA,NA,82.5,212.5,10,182.91,185.23,181.12,35.29,Yes,,,FPR,IPF,2016-09-11,Russia,CHE,Chelyabinsk,Chelyabinsk Oblast Classic Powerlifting Championships,Yes
215939,Dariya Dryagina,F,SBD,Single-ply,12.5,13-15,,Youth 10-15,42.05,43,NA,NA,NA,NA,45,NA,NA,NA,NA,32.5,NA,NA,NA,NA,65,142.5,2,203.31,206.61,186.37,34.12,Yes,,,UkrainePF,IPF,2014-11-23,Ukraine,,Kolomyia,Ukrainian Schools Powerlifting Championship,Yes
614192,Mikhail Nabeev,M,B,Raw,13,13-15,14-18,Youth,50,52,NA,NA,NA,NA,NA,60,65,67.5,NA,67.5,NA,NA,NA,NA,NA,67.5,1,67.15,69.06,68.17,44.71,,Russia,,WRPF,WRPF,2020-05-16,Russia,,Chita,Victory 75 Tournament,Yes
87807,Artem Kraus,M,SBD,Single-ply,14.5,13-15,14-18,Open,76.6,83,NA,NA,NA,NA,90,NA,NA,NA,NA,67.5,NA,NA,NA,NA,110,267.5,11,189.37,187.87,181.37,32.43,Yes,Russia,,FPR,IPF,2020-10-22,Russia,YAN,Muravlenko,Yamalo Nenetsk Powerlifting Championships,Yes
520870,LeeAnn Sheley,F,SBD,Single-ply,15,13-15,14-18,F-JV,51.9,52,-62.5,62.5,65,NA,65,32.5,37.5,-40,NA,37.5,77.5,87.5,-100,NA,87.5,190,6,231.9,237.21,210.28,38.75,Yes,,,USAPL,IPF,2012-03-23,USA,WI,Wisconsin Dells,High School Nationals,Yes
143756,C. Nase,M,S,Raw,14.5,13-15,14-18,Teen 14-15,125,125,NA,NA,NA,NA,124.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124.74,1,70.7,71.08,68.02,NA,Yes,,,ADAU,,2005-07-23,USA,PA,Catasauqua,Single Lift Nationals,Yes
497691,Kobe Hill,M,B,Raw,15,13-15,14-18,Teen 14-15,75,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,NA,NA,NA,NA,NA,95,1,68.16,67.69,65.41,50.3,Yes,USA,MD,RAW,,2015-10-17,USA,MD,Prince Frederick,Southern Maryland Open,Yes
286203,Ethan Bradley Wasow,M,SBD,Raw,15,13-15,14-18,T13-15,85.4,90,130,140,150,NA,150,100,-110,110,NA,110,130,-155,-155,NA,130,390,1,259.18,256.07,246,53.22,,,,WRPF-AUS,WRPF,2023-10-28,Australia,NSW,Bathurst,Nightmare On Moulder Street 2,Yes
737510,Ryan Ertel,M,BD,Raw,15,13-15,14-18,M_TR_1_CPF,68.2,75,NA,NA,NA,NA,NA,61.23,68.04,-77.11,NA,68.04,124.74,138.35,147.42,NA,147.42,215.46,1,164.84,164.77,159.86,NA,,,,CPF,WPC,2017-11-24,Canada,ON,Kitchener,8th Annual WCDSB Push/Pull,Yes
