Rank,Driver_Number,Team,Country,Driver,Hours,Minutes,Seconds,Variation_Hours,Variation_Minutes,Variation_Seconds,Penalty_Hours,Penalty_Minutes,Penalty_Seconds,Stage
1,68,MONSTER ENERGY HONDA TEAM,Spain,TOSHA SCHAREINA,0,17,35,0,0,0,0,0,0,0
2,5,RED BULL GASGAS FACTORY RACING,Australia,DANIEL SANDERS,0,17,47,0,0,12,0,0,0,0
3,46,HERO MOTOSPORTS TEAM RALLY,Botswana,ROSS BRANCH,0,17,54,0,0,19,0,0,0,0
4,42,MONSTER ENERGY HONDA TEAM,France,ADRIEN VAN BEVEREN,0,17,59,0,0,24,0,0,0,0
5,1,HUSQVARNA FACTORY RACING,Argentina,LUCIANO BENAVIDES,0,18,1,0,0,26,0,0,0,0
6,4,RED BULL GASGAS FACTORY RACING,United Kingom,SAM SUNDERLAND,0,18,3,0,0,28,0,0,0,0
7,7,MONSTER ENERGY HONDA TEAM,Chile,PABLO QUINTANILLA,0,18,22,0,0,47,0,0,0,0
8,2,RED BULL KTM FACTORY RACING,Australia,TOBY PRICE,0,18,26,0,0,51,0,0,0,0
9,47,RED BULL KTM FACTORY RACING,Argentina,KEVIN BENAVIDES,0,18,31,0,0,56,0,0,0,0
10,98,KORR OFFROAD RACING,United States,MASON KLEIN,0,18,33,0,0,58,0,0,0,0
11,23,ORION - MOTO RACING GROUP,Czech Republic,MARTIN MICHEK,0,18,46,0,1,11,0,0,0,0
12,15,SHERCO RALLY FACTORY,Spain,LORENZO SANTOLINO,0,18,51,0,1,16,0,0,0,0
13,9,MONSTER ENERGY HONDA TEAM,United States,RICKY BRABEC,0,18,54,0,1,19,0,0,0,0
14,11,MONSTER ENERGY HONDA TEAM,Chile,JOSE IGNACIO CORNEJO FLORIMO,0,18,59,0,1,24,0,0,0,0
15,88,HERO MOTOSPORTS TEAM RALLY,Spain,JOAN BARREDA BORT,0,19,0,0,1,25,0,0,0,0
16,14,HERO MOTOSPORTS TEAM RALLY,Germany,SEBASTIAN BÜHLER,0,19,3,0,1,28,0,0,0,0
17,16,TEAM DUMONTIER RACING,France,ROMAIN DUMONTIER,0,19,43,0,2,8,0,0,0,0
18,19,SHERCO RALLY FACTORY,Portugal,RUI GONÇALVES,0,19,43,0,2,8,0,0,0,0
