driverId,driverName,constructorId,constructorName,lap,lapTime,lapPosition
830,Max Verstappen,9,Red Bull,1,101.724,9
830,Max Verstappen,9,Red Bull,2,94.26,8
830,Max Verstappen,9,Red Bull,3,94.127,8
830,Max Verstappen,9,Red Bull,4,92.935,6
830,Max Verstappen,9,Red Bull,5,92.875,6
830,Max Verstappen,9,Red Bull,6,92.753,6
830,Max Verstappen,9,Red Bull,7,92.555,6
830,Max Verstappen,9,Red Bull,8,92.947,5
830,Max Verstappen,9,Red Bull,9,92.988,4
830,Max Verstappen,9,Red Bull,10,92.74,4
830,Max Verstappen,9,Red Bull,11,92.251,4
830,Max Verstappen,9,Red Bull,12,92.304,4
830,Max Verstappen,9,Red Bull,13,91.736,4
830,Max Verstappen,9,Red Bull,14,92.193,3
830,Max Verstappen,9,Red Bull,15,92.433,2
830,Max Verstappen,9,Red Bull,16,92.333,2
830,Max Verstappen,9,Red Bull,17,92.455,2
830,Max Verstappen,9,Red Bull,18,92.124,2
830,Max Verstappen,9,Red Bull,19,92.073,2
830,Max Verstappen,9,Red Bull,20,92.203,1
830,Max Verstappen,9,Red Bull,21,92.351,1
830,Max Verstappen,9,Red Bull,22,92.267,1
830,Max Verstappen,9,Red Bull,23,91.906,1
830,Max Verstappen,9,Red Bull,24,92.126,1
830,Max Verstappen,9,Red Bull,25,91.919,1
830,Max Verstappen,9,Red Bull,26,91.922,1
830,Max Verstappen,9,Red Bull,27,91.829,1
830,Max Verstappen,9,Red Bull,28,91.776,1
830,Max Verstappen,9,Red Bull,29,91.82,1
830,Max Verstappen,9,Red Bull,30,92.484,1
830,Max Verstappen,9,Red Bull,31,91.627,1
830,Max Verstappen,9,Red Bull,32,91.293,1
830,Max Verstappen,9,Red Bull,33,91.481,1
830,Max Verstappen,9,Red Bull,34,91.43,1
830,Max Verstappen,9,Red Bull,35,91.225,1
830,Max Verstappen,9,Red Bull,36,91.384,1
830,Max Verstappen,9,Red Bull,37,91.268,1
830,Max Verstappen,9,Red Bull,38,91.199,1
830,Max Verstappen,9,Red Bull,39,91.444,1
830,Max Verstappen,9,Red Bull,40,91.288,1
830,Max Verstappen,9,Red Bull,41,91.004,1
830,Max Verstappen,9,Red Bull,42,91.122,1
830,Max Verstappen,9,Red Bull,43,90.988,1
830,Max Verstappen,9,Red Bull,44,91.056,1
830,Max Verstappen,9,Red Bull,45,95.856,1
830,Max Verstappen,9,Red Bull,46,106.123,2
830,Max Verstappen,9,Red Bull,47,91.179,2
830,Max Verstappen,9,Red Bull,48,90.637,1
830,Max Verstappen,9,Red Bull,49,90.91,1
830,Max Verstappen,9,Red Bull,50,90.837,1
830,Max Verstappen,9,Red Bull,51,90.699,1
830,Max Verstappen,9,Red Bull,52,90.372,1
830,Max Verstappen,9,Red Bull,53,90.546,1
830,Max Verstappen,9,Red Bull,54,90.492,1
830,Max Verstappen,9,Red Bull,55,90.391,1
830,Max Verstappen,9,Red Bull,56,89.708,1
830,Max Verstappen,9,Red Bull,57,90.273,1
840,Lance Stroll,117,Aston Martin,1,106.289,17
840,Lance Stroll,117,Aston Martin,2,95.75,17
840,Lance Stroll,117,Aston Martin,3,94.327,17
840,Lance Stroll,117,Aston Martin,4,93.947,17
840,Lance Stroll,117,Aston Martin,5,93.637,16
840,Lance Stroll,117,Aston Martin,6,93.834,16
840,Lance Stroll,117,Aston Martin,7,93.593,16
840,Lance Stroll,117,Aston Martin,8,93.663,16
840,Lance Stroll,117,Aston Martin,9,93.778,16
840,Lance Stroll,117,Aston Martin,10,93.445,16
840,Lance Stroll,117,Aston Martin,11,94.014,16
840,Lance Stroll,117,Aston Martin,12,93.718,16
840,Lance Stroll,117,Aston Martin,13,93.766,16
840,Lance Stroll,117,Aston Martin,14,93.758,16
840,Lance Stroll,117,Aston Martin,15,93.406,14
840,Lance Stroll,117,Aston Martin,16,93.442,13
840,Lance Stroll,117,Aston Martin,17,93.444,13
840,Lance Stroll,117,Aston Martin,18,93.401,11
840,Lance Stroll,117,Aston Martin,19,93.605,10
840,Lance Stroll,117,Aston Martin,20,93.261,10
840,Lance Stroll,117,Aston Martin,21,93.551,10
840,Lance Stroll,117,Aston Martin,22,94.178,9
840,Lance Stroll,117,Aston Martin,23,93.1,9
840,Lance Stroll,117,Aston Martin,24,93.811,10
840,Lance Stroll,117,Aston Martin,25,93.786,11
840,Lance Stroll,117,Aston Martin,26,93.022,11
840,Lance Stroll,117,Aston Martin,27,92.999,11
840,Lance Stroll,117,Aston Martin,28,92.626,11
840,Lance Stroll,117,Aston Martin,29,92.667,11
840,Lance Stroll,117,Aston Martin,30,92.706,11
840,Lance Stroll,117,Aston Martin,31,92.514,11
840,Lance Stroll,117,Aston Martin,32,92.62,11
840,Lance Stroll,117,Aston Martin,33,94.467,10
840,Lance Stroll,117,Aston Martin,34,92.559,10
840,Lance Stroll,117,Aston Martin,35,92.574,10
840,Lance Stroll,117,Aston Martin,36,92.639,9
840,Lance Stroll,117,Aston Martin,37,92.501,9
840,Lance Stroll,117,Aston Martin,38,92.422,8
840,Lance Stroll,117,Aston Martin,39,92.299,8
840,Lance Stroll,117,Aston Martin,40,92.24,7
840,Lance Stroll,117,Aston Martin,41,92.247,7
840,Lance Stroll,117,Aston Martin,42,97.256,8
840,Lance Stroll,117,Aston Martin,43,106.469,15
840,Lance Stroll,117,Aston Martin,44,90.862,15
840,Lance Stroll,117,Aston Martin,45,91.357,15
840,Lance Stroll,117,Aston Martin,46,91.299,15
840,Lance Stroll,117,Aston Martin,47,91.426,14
840,Lance Stroll,117,Aston Martin,48,92.237,14
840,Lance Stroll,117,Aston Martin,49,91.705,13
840,Lance Stroll,117,Aston Martin,50,91.733,13
840,Lance Stroll,117,Aston Martin,51,92.03,12
840,Lance Stroll,117,Aston Martin,52,91.513,12
840,Lance Stroll,117,Aston Martin,53,91.521,12
840,Lance Stroll,117,Aston Martin,54,91.076,12
840,Lance Stroll,117,Aston Martin,55,90.978,12
840,Lance Stroll,117,Aston Martin,56,90.88,12
840,Lance Stroll,117,Aston Martin,57,91.047,12
