year,institution_name,classification_code,classification_name,total_rev_menwomen,total_exp_menwomen,sports
2015,Alabama A & M University,2,NCAA Division I-FCS,345592,397818,Baseball
2015,Alabama A & M University,2,NCAA Division I-FCS,1959928,1560328,Basketball
2015,Alabama A & M University,2,NCAA Division I-FCS,498907,498133,All Track Combined
2015,Alabama A & M University,2,NCAA Division I-FCS,2808949,3059353,Football
2015,Alabama A & M University,2,NCAA Division I-FCS,78270,83913,Golf
2015,Alabama A & M University,2,NCAA Division I-FCS,410717,432648,Soccer
2015,Alabama A & M University,2,NCAA Division I-FCS,298164,340259,Softball
2015,Alabama A & M University,2,NCAA Division I-FCS,209419,213498,Tennis
2015,Alabama A & M University,2,NCAA Division I-FCS,321329,357485,Volleyball
2015,Alabama A & M University,2,NCAA Division I-FCS,127376,115216,Bowling
2015,University of Alabama at Birmingham,1,NCAA Division I-FBS,1286361,1245150,Baseball
2015,University of Alabama at Birmingham,1,NCAA Division I-FBS,6156382,6152405,Basketball
2015,University of Alabama at Birmingham,1,NCAA Division I-FBS,922348,920905,All Track Combined
2015,University of Alabama at Birmingham,1,NCAA Division I-FBS,754715,753707,Golf
2015,University of Alabama at Birmingham,1,NCAA Division I-FBS,NA,NA,Rifle
2015,University of Alabama at Birmingham,1,NCAA Division I-FBS,2007674,1996882,Soccer
2015,University of Alabama at Birmingham,1,NCAA Division I-FBS,967536,967536,Softball
2015,University of Alabama at Birmingham,1,NCAA Division I-FBS,767826,767826,Tennis
2015,University of Alabama at Birmingham,1,NCAA Division I-FBS,945712,942113,Volleyball
2015,University of Alabama at Birmingham,1,NCAA Division I-FBS,324497,323497,Beach Volleyball
2015,Alabama State University,2,NCAA Division I-FCS,840884,825884,Baseball
2015,Alabama State University,2,NCAA Division I-FCS,1760295,1554923,Basketball
2015,Alabama State University,2,NCAA Division I-FCS,869643,869643,All Track Combined
2015,Alabama State University,2,NCAA Division I-FCS,5131957,2944115,Football
2015,Alabama State University,2,NCAA Division I-FCS,337491,337491,Golf
2015,Alabama State University,2,NCAA Division I-FCS,399170,399170,Soccer
2015,Alabama State University,2,NCAA Division I-FCS,538963,526663,Softball
2015,Alabama State University,2,NCAA Division I-FCS,395939,395939,Tennis
2015,Alabama State University,2,NCAA Division I-FCS,520149,520149,Volleyball
2015,Alabama State University,2,NCAA Division I-FCS,464943,464943,Bowling
2015,The University of Alabama,1,NCAA Division I-FBS,1134040,3125674,Baseball
2015,The University of Alabama,1,NCAA Division I-FBS,15433343,12128308,Basketball
2015,The University of Alabama,1,NCAA Division I-FBS,1293916,4413414,All Track Combined
2015,The University of Alabama,1,NCAA Division I-FBS,103870999,56214376,Football
2015,The University of Alabama,1,NCAA Division I-FBS,909791,2136354,Golf
2015,The University of Alabama,1,NCAA Division I-FBS,1130343,2501472,Gymnastics
2015,The University of Alabama,1,NCAA Division I-FBS,1010413,1960638,Rowing
