"","medal_type","medal_code","medal_date","last_name","first_name","athlete_sex","event","country","discipline"
"1","Gold","1",2022-02-04,"ECKHOFF","Tiril","O","Mixed Relay 4x6km (W+M)","Norway","Biathlon"
"2","Gold","1",2022-02-04,"ROEISELAND","Marte Olsbu","O","Mixed Relay 4x6km (W+M)","Norway","Biathlon"
"3","Gold","1",2022-02-04,"BOE","Tarjei","O","Mixed Relay 4x6km (W+M)","Norway","Biathlon"
"4","Gold","1",2022-02-04,"BOE","Johannes Thingnes","O","Mixed Relay 4x6km (W+M)","Norway","Biathlon"
"5","Silver","2",2022-02-04,"CHEVALIER-BOUCHET","Anais","O","Mixed Relay 4x6km (W+M)","France","Biathlon"
"6","Silver","2",2022-02-04,"FILLON","MAILLET Quentin","O","Mixed Relay 4x6km (W+M)","France","Biathlon"
"7","Silver","2",2022-02-04,"JACQUELIN","Emilien","O","Mixed Relay 4x6km (W+M)","France","Biathlon"
"8","Silver","2",2022-02-04,"SIMON","Julia","O","Mixed Relay 4x6km (W+M)","France","Biathlon"
"9","Bronze","3",2022-02-04,"NIGMATULLINA","Uliana","O","Mixed Relay 4x6km (W+M)","Russian Olympic Committee","Biathlon"
"10","Bronze","3",2022-02-04,"REZTSOVA","Kristina","O","Mixed Relay 4x6km (W+M)","Russian Olympic Committee","Biathlon"
"11","Bronze","3",2022-02-04,"LATYPOV","Eduard","O","Mixed Relay 4x6km (W+M)","Russian Olympic Committee","Biathlon"
"12","Bronze","3",2022-02-04,"LOGINOV","Alexander","O","Mixed Relay 4x6km (W+M)","Russian Olympic Committee","Biathlon"
"13","Gold","1",2022-02-04,"JOHAUG","Therese","W","Women's 7.5km + 7.5km Skiathlon","Norway","Cross-Country Skiing"
"14","Silver","2",2022-02-04,"NEPRYAEVA","Natalia","W","Women's 7.5km + 7.5km Skiathlon","Russian Olympic Committee","Cross-Country Skiing"
"15","Bronze","3",2022-02-04,"STADLOBER","Teresa","W","Women's 7.5km + 7.5km Skiathlon","Austria","Cross-Country Skiing"
