"","Run1_Time","Run2_Time","Time_Diff"
"1",59.03,59.88,-0.850000000000001
"2",59.63,60.24,-0.609999999999999
"3",60.11,59.88,0.229999999999997
"4",59.32,60.76,-1.44
"5",60.29,60.03,0.259999999999998
"6",59.97,60.38,-0.410000000000004
"7",60.55,59.91,0.640000000000001
"8",60.55,59.98,0.57
"9",60.41,60.28,0.129999999999995
"10",60.27,60.43,-0.159999999999997
"11",60.51,60.24,0.269999999999996
"12",60.14,60.68,-0.539999999999999
"13",60.14,60.84,-0.700000000000003
"14",60.77,60.22,0.550000000000004
"15",60.28,60.87,-0.589999999999996
"16",60.29,60.97,-0.68
"17",61.22,60.07,1.15
"18",61.36,60.14,1.22
"19",60.8,60.7,0.0999999999999943
"20",61.53,60.02,1.51
"21",61.4,59.96,1.44
"22",61.33,60.31,1.02
"23",61.07,60.59,0.479999999999997
"24",60.77,60.95,-0.18
"25",61.27,60.51,0.760000000000005
"26",60.71,61.22,-0.509999999999998
"27",61.11,61.04,0.0700000000000003
"28",61.06,61.25,-0.189999999999998
"29",61.47,61.25,0.219999999999999
"30",60.6,NA,NA
