"","Run1_Time","Run2_Time","Time_Diff"
"1",66.5,68.45,-1.95
"2",66.9,68.26,-1.36
"3",66.97,68.27,-1.3
"4",66.61,68.9,-2.29
"5",66.85,68.69,-1.84
"6",67.46,68.53,-1.07
"7",67.91,68.66,-0.75
"8",67.27,69.53,-2.26
"9",68.7,68.49,0.21
"10",68.26,69.04,-0.78
"11",67.89,69.44,-1.55
"12",68.67,69.14,-0.47
"13",68.28,69.56,-1.28
"14",68.83,69.02,-0.19
"15",68.62,69.43,-0.81
"16",69.15,68.95,0.2
"17",68.79,69.31,-0.52
"18",68.69,69.42,-0.73
"19",69.11,69.44,-0.33
"20",69.27,69.36,-0.09
"21",69.02,69.72,-0.7
"22",69.09,69.74,-0.65
"23",69.65,69.56,0.09
"24",69.36,69.87,-0.51
"25",69.39,70.02,-0.63
"26",69.43,70.53,-1.1
"27",69.43,71.08,-1.65
"28",69.73,NA,NA
"29",69.67,NA,NA
"30",69.31,NA,NA
