"Bib","Name","NSA","Rank1","Time1","Diff1","Dist1","Rank2","Time2","Diff2","Dist2","Rank3","Time3","Diff3","Dist3","Rank4","Time4","Diff4","Dist4","event","Speed1","Speed2","Speed3","Speed4"
36,"CARL Victoria","GER",1,4.648,NA,2,1,10.518,NA,5.2,1,20.595,NA,7.5,1,28.227,NA,11,2257,0.279690189328744,0.511073253833049,0.317554827825742,0.327568134171908
38,"BRENNAN Rosie","USA",3,4.697,2.9,2,4,10.747,13.7,5.2,3,20.872,16.6,7.5,2,28.553,19.6,11,2257,0.276772407919949,0.495867768595041,0.316049382716049,0.32547845332639
44,"ANDERSSON Ebba","SWE",2,4.675,1.6,2,7,10.807,17.3,5.2,2,20.765,10.2,7.5,3,28.587,21.6,11,2257,0.27807486631016,0.489236790606654,0.321349668608154,0.319611352595244
56,"DIGGINS Jessie","USA",6,4.822,10.4,2,3,10.695,10.6,5.2,4,20.973,22.7,7.5,4,28.698,28.3,11,2257,0.269597677312319,0.510812191384301,0.311344619575793,0.323624595469256
40,"NISKANEN Kerttu","FIN",7,4.847,11.9,2,9,10.863,20.7,5.2,5,21.145,33,7.5,5,28.928,42.1,11,2257,0.268207138436146,0.498670212765958,0.311223497374052,0.32121289991006
32,"SLIND Astrid Oeyre","NOR",4,4.748,6,2,2,10.645,7.6,5.2,6,21.157,33.7,7.5,6,29.013,47.2,11,2257,0.27379949452401,0.508733254197049,0.30441400304414,0.318228105906314
23,"FINK Pia","GER",14,4.903,15.3,2,8,10.858,20.4,5.2,7,21.308,42.8,7.5,7,29.163,56.2,11,2257,0.265143789516622,0.503778337531486,0.30622009569378,0.318268618714195
50,"RIBOM Emma","SWE",11,4.872,13.4,2,5,10.76,14.5,5.2,9,21.343,44.9,7.5,8,29.192,57.9,11,2257,0.266830870279146,0.509510869565217,0.302371728243409,0.318511912345522
54,"WENG Heidi","NOR",9,4.86,12.7,2,14,10.983,27.9,5.2,10,21.35,45.3,7.5,9,29.238,NA,11,2257,0.267489711934156,0.489955903968643,0.308671746889168,0.316937119675456
30,"BERGANE Margrethe","NOR",10,4.867,13.1,2,16,11.01,29.5,5.2,8,21.315,43.2,7.5,10,29.282,NA,11,2257,0.267104992808712,0.488360735796842,0.310528869480835,0.31379440190787
