tourney_name,surface,result,player,rank,hand,height,country,age,best_of,minutes,numAces,numDF,servePoints,first_serve_in,first_serve_won,second_serve_won,serve_games_won,break_points_saved,break_points_faced
United Cup,Hard,Winner,Taylor Fritz,9,R,193,USA,25.1,3,135,15,2,85,52,45,16,12,0,0
United Cup,Hard,Loser,Matteo Berrettini,16,R,196,ITA,26.7,3,135,7,2,97,62,47,15,12,9,9
United Cup,Hard,Winner,Frances Tiafoe,19,R,188,USA,24.9,3,34,3,1,27,19,15,3,4,3,3
United Cup,Hard,Loser,Lorenzo Musetti,23,R,185,ITA,20.8,3,34,0,0,21,12,8,3,4,1,3
United Cup,Hard,Winner,Taylor Fritz,9,R,193,USA,25.1,3,104,11,0,80,50,44,19,12,4,4
United Cup,Hard,Loser,Hubert Hurkacz,10,R,196,POL,25.8,3,104,17,1,82,62,51,7,12,2,2
United Cup,Hard,Winner,Frances Tiafoe,19,R,188,USA,24.9,3,79,5,4,61,37,31,11,9,5,5
United Cup,Hard,Winner,Stefanos Tsitsipas,4,R,193,GRE,24.3,3,155,9,1,98,52,43,28,16,1,2
United Cup,Hard,Loser,Matteo Berrettini,16,R,196,ITA,26.7,3,155,7,2,89,58,48,18,16,1,2
United Cup,Hard,Winner,Lorenzo Musetti,23,R,185,ITA,20.8,3,62,2,1,41,25,18,12,7,1,1
United Cup,Hard,Winner,Stefanos Tsitsipas,4,R,193,GRE,24.3,3,151,20,1,94,60,45,20,15,5,6
United Cup,Hard,Loser,Borna Coric,26,R,188,CRO,26.1,3,151,7,2,88,59,44,10,15,2,7
United Cup,Hard,Winner,Borna Gojo,144,R,196,CRO,24.8,3,89,4,1,50,30,27,11,9,1,1
United Cup,Hard,Winner,Matteo Berrettini,16,R,196,ITA,26.7,3,116,11,1,77,49,37,18,14,2,4
United Cup,Hard,Loser,Hubert Hurkacz,10,R,196,POL,25.8,3,116,12,1,79,49,36,16,14,1,4
United Cup,Hard,Winner,Lorenzo Musetti,23,R,185,ITA,20.8,3,57,8,0,31,18,17,11,7,0,0
United Cup,Hard,Winner,Cameron Norrie,14,L,188,GBR,27.3,3,136,7,0,91,69,53,9,16,5,8
United Cup,Hard,Loser,Taylor Fritz,9,R,193,USA,25.1,3,136,16,2,95,58,39,21,16,4,8
United Cup,Hard,Winner,Frances Tiafoe,19,R,188,USA,24.9,3,132,10,1,87,46,32,24,15,7,10
United Cup,Hard,Loser,Daniel Evans,27,R,175,GBR,32.6,3,132,9,3,82,46,35,17,15,5,9
United Cup,Hard,Winner,Stefanos Tsitsipas,4,R,193,GRE,24.3,3,78,12,1,61,39,27,12,9,4,5
United Cup,Hard,Loser,David Goffin,53,R,180,BEL,32,3,78,2,1,49,33,22,4,8,2,6
United Cup,Hard,Loser,Zizou Bergs,129,R,185,BEL,23.5,3,133,1,5,86,52,33,16,14,3,7
United Cup,Hard,Winner,Stefanos Tsitsipas,4,R,193,GRE,24.3,3,NA,12,1,95,72,56,12,15,8,9
United Cup,Hard,Loser,Grigor Dimitrov,28,R,188,BUL,31.6,3,NA,11,2,87,55,44,19,15,6,8
United Cup,Hard,Winner,Grigor Dimitrov,28,R,188,BUL,31.6,3,102,10,7,72,48,38,9,11,6,8
