player,surface,winPct,matches
Abedallah Shelbayh,Hard,0.3333333333333333,6
Adrian Mannarino,Clay,0.2,5
Adrian Mannarino,Grass,0.75,16
Adrian Mannarino,Hard,0.6521739130434783,46
Albert Ramos,Clay,0.44,25
Albert Ramos,Hard,0.09090909090909091,11
Alejandro Davidovich Fokina,Clay,0.5294117647058824,17
Alejandro Davidovich Fokina,Grass,0.4,5
Alejandro Davidovich Fokina,Hard,0.5675675675675675,37
Aleksandar Kovacevic,Hard,0.3333333333333333,9
Aleksandar Vukic,Grass,0.4,5
Aleksandar Vukic,Hard,0.4090909090909091,22
Alex De Minaur,Clay,0.5,10
Alex De Minaur,Grass,0.6666666666666666,9
Alex De Minaur,Hard,0.6727272727272727,55
Alex Michelsen,Grass,0.6666666666666666,6
Alex Michelsen,Hard,0.3333333333333333,9
Alex Molcan,Clay,0.5,18
Alex Molcan,Hard,0.4666666666666667,15
Alexander Bublik,Clay,0.38461538461538464,13
Alexander Bublik,Grass,0.8181818181818182,11
Alexander Bublik,Hard,0.35714285714285715,28
Alexander Shevchenko,Clay,0.5,12
Alexander Shevchenko,Hard,0.5,20
Alexander Zverev,Clay,0.7407407407407407,27
Alexander Zverev,Grass,0.7142857142857143,7
Alexander Zverev,Hard,0.625,48
Alexandre Muller,Clay,0.45454545454545453,11
Alexandre Muller,Hard,0.3,10
Alexei Popyrin,Clay,0.6470588235294118,17
Alexei Popyrin,Hard,0.46153846153846156,26
Andrey Rublev,Clay,0.7916666666666666,24
Andrey Rublev,Grass,0.8,10
Andrey Rublev,Hard,0.6170212765957447,47
Andy Murray,Hard,0.5357142857142857,28
Arthur Fils,Clay,0.6923076923076923,13
Arthur Fils,Hard,0.5925925925925926,27
Arthur Rinderknech,Clay,0.5,10
Arthur Rinderknech,Grass,0.3333333333333333,6
Arthur Rinderknech,Hard,0.3157894736842105,19
Aslan Karatsev,Clay,0.6363636363636364,11
Aslan Karatsev,Grass,0.4,5
Aslan Karatsev,Hard,0.52,25
Ben Shelton,Clay,0.2222222222222222,9
Ben Shelton,Grass,0.4,5
Ben Shelton,Hard,0.6,35
Benjamin Bonzi,Clay,0.3333333333333333,6
Benjamin Bonzi,Hard,0.5416666666666666,24
Bernabe Zapata Miralles,Clay,0.5714285714285714,28
Bernabe Zapata Miralles,Hard,0.16666666666666666,12
Borna Coric,Clay,0.6428571428571429,14
Borna Coric,Hard,0.5416666666666666,24
Borna Gojo,Hard,0.6666666666666666,18
Botic Van De Zandschulp,Clay,0.4,10
Botic Van De Zandschulp,Hard,0.5294117647058824,34
Brandon Nakashima,Clay,0.5,6
Brandon Nakashima,Grass,0.2,5
Brandon Nakashima,Hard,0.4090909090909091,22
Cameron Norrie,Clay,0.72,25
Cameron Norrie,Grass,0.6,5
Cameron Norrie,Hard,0.4838709677419355,31
Carlos Alcaraz,Clay,0.8928571428571429,28
Carlos Alcaraz,Grass,1,12
Carlos Alcaraz,Hard,0.7567567567567568,37
Casper Ruud,Clay,0.7333333333333333,30
Casper Ruud,Hard,0.48148148148148145,27
Christopher Eubanks,Grass,0.75,12
Christopher Eubanks,Hard,0.4230769230769231,26
Christopher Oconnell,Clay,0.5,16
Christopher Oconnell,Grass,0.5714285714285714,7
Christopher Oconnell,Hard,0.3684210526315789,19
Constant Lestienne,Hard,0.2777777777777778,18
Corentin Moutet,Clay,0.2,5
Corentin Moutet,Grass,0.4444444444444444,9
Corentin Moutet,Hard,0.2,10
Cristian Garin,Clay,0.5714285714285714,21
Cristian Garin,Hard,0.5,18
Daniel Altmaier,Clay,0.5789473684210527,19
Daniel Altmaier,Hard,0.23529411764705882,17
Daniel Elahi Galan,Clay,0.2857142857142857,14
Daniel Elahi Galan,Grass,0.6,5
Daniel Elahi Galan,Hard,0.16666666666666666,12
Daniel Evans,Clay,0.4166666666666667,12
