player,level,gender,division,team_name,team_games
Jacques Nissen,D1,Men,Division 1 Men,Brown Brownian Motion,8
Emily Kemp,D1,Women,Division 1 Women,Tufts EWO,5
Devin Quinn,D1,Women,Division 1 Women,California - Santa Barbara Burning Skirts,5
Matthew Gregor,D3,Men,Division 3 Men,Franciscan Fatal,6
Frankie Saraniti,D3,Women,Division 3 Women,Carleton Eclipse,6
Jacob Felton,D3,Men,Division 3 Men,Davenport Panthers,6
Rowan Dong,D3,Women,Division 3 Women,Carleton Eclipse,6
Charles Tantum,D3,Men,Division 3 Men,Williams WUFO,6
Will Brandt,D3,Men,Division 3 Men,St Olaf Berzerkers,6
Max Zwerin,D3,Men,Division 3 Men,Lewis & Clark Bacchus,6
Faye Burdick,D1,Women,Division 1 Women,Colorado Quandary,7
Scott Heyman,D1,Men,Division 1 Men,Pittsburgh En Sabah Nur,5
Mika Kurahashi,D1,Women,Division 1 Women,British Columbia Thunderbirds,6
Leo Farley,D3,Men,Division 3 Men,Lewis & Clark Bacchus,6
Cal Nightingale,D1,Men,Division 1 Men,Brown Brownian Motion,8
Jordan Bacharach,D1,Men,Division 1 Men,Michigan Magnum,5
Henry Ing,D1,Men,Division 1 Men,Pittsburgh En Sabah Nur,5
Tori Gray,D1,Women,Division 1 Women,Carleton Syzygy,6
Matthew Kompelien,D3,Men,Division 3 Men,St Olaf Berzerkers,6
Dawn Culton,D1,Women,Division 1 Women,North Carolina Pleiades,7
Sami Chambers,D1,Women,Division 1 Women,Georgia Athena,5
Dexter Clyburn,D1,Men,Division 1 Men,Cal Ursa Major,5
Aidan Downey,D1,Men,Division 1 Men,Georgia Jojah,5
Sage McGinley-Smith,D1,Women,Division 1 Women,Stanford Superfly,7
Rowan Jamieson,D3,Men,Division 3 Men,Davenport Panthers,6
Paul Krenik,D1,Men,Division 1 Men,Minnesota Grey Duck,5
Martin Gallant,D1,Men,Division 1 Men,Ottawa Gee-Gees,5
Gabriel Jagt,D1,Men,Division 1 Men,Minnesota Grey Duck,5
Daniel Snider,D3,Men,Division 3 Men,Bates Orange Whip,6
