player,level,gender,division,team_name,statistic,value
Jacques Nissen,D1,Men,Division 1 Men,Brown Brownian Motion,Turns,12
Jacques Nissen,D1,Men,Division 1 Men,Brown Brownian Motion,Ds,8
Jacques Nissen,D1,Men,Division 1 Men,Brown Brownian Motion,Assists,38
Jacques Nissen,D1,Men,Division 1 Men,Brown Brownian Motion,Points,13
Jacques Nissen,D1,Men,Division 1 Men,Brown Brownian Motion,Plus Minus,47
Cal Nightingale,D1,Men,Division 1 Men,Brown Brownian Motion,Turns,3
Cal Nightingale,D1,Men,Division 1 Men,Brown Brownian Motion,Ds,0
Cal Nightingale,D1,Men,Division 1 Men,Brown Brownian Motion,Assists,12
Cal Nightingale,D1,Men,Division 1 Men,Brown Brownian Motion,Points,27
Cal Nightingale,D1,Men,Division 1 Men,Brown Brownian Motion,Plus Minus,36
Faye Burdick,D1,Women,Division 1 Women,Colorado Quandary,Turns,6
Faye Burdick,D1,Women,Division 1 Women,Colorado Quandary,Ds,12
Faye Burdick,D1,Women,Division 1 Women,Colorado Quandary,Assists,16
Faye Burdick,D1,Women,Division 1 Women,Colorado Quandary,Points,13
Faye Burdick,D1,Women,Division 1 Women,Colorado Quandary,Plus Minus,35
Matthew Gregor,D3,Men,Division 3 Men,Franciscan Fatal,Turns,2
Matthew Gregor,D3,Men,Division 3 Men,Franciscan Fatal,Ds,6
Matthew Gregor,D3,Men,Division 3 Men,Franciscan Fatal,Assists,3
Matthew Gregor,D3,Men,Division 3 Men,Franciscan Fatal,Points,26
Matthew Gregor,D3,Men,Division 3 Men,Franciscan Fatal,Plus Minus,33
Frankie Saraniti,D3,Women,Division 3 Women,Carleton Eclipse,Turns,11
Frankie Saraniti,D3,Women,Division 3 Women,Carleton Eclipse,Ds,15
Frankie Saraniti,D3,Women,Division 3 Women,Carleton Eclipse,Assists,12
Frankie Saraniti,D3,Women,Division 3 Women,Carleton Eclipse,Points,17
Frankie Saraniti,D3,Women,Division 3 Women,Carleton Eclipse,Plus Minus,33
Jacob Felton,D3,Men,Division 3 Men,Davenport Panthers,Turns,36
Jacob Felton,D3,Men,Division 3 Men,Davenport Panthers,Ds,7
Jacob Felton,D3,Men,Division 3 Men,Davenport Panthers,Assists,43
Jacob Felton,D3,Men,Division 3 Men,Davenport Panthers,Points,18
Jacob Felton,D3,Men,Division 3 Men,Davenport Panthers,Plus Minus,32
Rowan Dong,D3,Women,Division 3 Women,Carleton Eclipse,Turns,23
Rowan Dong,D3,Women,Division 3 Women,Carleton Eclipse,Ds,20
Rowan Dong,D3,Women,Division 3 Women,Carleton Eclipse,Assists,18
Rowan Dong,D3,Women,Division 3 Women,Carleton Eclipse,Points,16
Rowan Dong,D3,Women,Division 3 Women,Carleton Eclipse,Plus Minus,31
Leo Gordon,D1,Men,Division 1 Men,Brown Brownian Motion,Turns,27
Leo Gordon,D1,Men,Division 1 Men,Brown Brownian Motion,Ds,6
Leo Gordon,D1,Men,Division 1 Men,Brown Brownian Motion,Assists,34
Leo Gordon,D1,Men,Division 1 Men,Brown Brownian Motion,Points,18
Leo Gordon,D1,Men,Division 1 Men,Brown Brownian Motion,Plus Minus,31
Charles Tantum,D3,Men,Division 3 Men,Williams WUFO,Turns,8
Charles Tantum,D3,Men,Division 3 Men,Williams WUFO,Ds,11
Charles Tantum,D3,Men,Division 3 Men,Williams WUFO,Assists,10
Charles Tantum,D3,Men,Division 3 Men,Williams WUFO,Points,18
Charles Tantum,D3,Men,Division 3 Men,Williams WUFO,Plus Minus,31
Will Brandt,D3,Men,Division 3 Men,St Olaf Berzerkers,Turns,8
Will Brandt,D3,Men,Division 3 Men,St Olaf Berzerkers,Ds,4
Will Brandt,D3,Men,Division 3 Men,St Olaf Berzerkers,Assists,26
Will Brandt,D3,Men,Division 3 Men,St Olaf Berzerkers,Points,8
Will Brandt,D3,Men,Division 3 Men,St Olaf Berzerkers,Plus Minus,30
Max Zwerin,D3,Men,Division 3 Men,Lewis & Clark Bacchus,Turns,8
Max Zwerin,D3,Men,Division 3 Men,Lewis & Clark Bacchus,Ds,10
Max Zwerin,D3,Men,Division 3 Men,Lewis & Clark Bacchus,Assists,6
Max Zwerin,D3,Men,Division 3 Men,Lewis & Clark Bacchus,Points,22
Max Zwerin,D3,Men,Division 3 Men,Lewis & Clark Bacchus,Plus Minus,30
Dawn Culton,D1,Women,Division 1 Women,North Carolina Pleiades,Turns,19
Dawn Culton,D1,Women,Division 1 Women,North Carolina Pleiades,Ds,12
Dawn Culton,D1,Women,Division 1 Women,North Carolina Pleiades,Assists,16
Dawn Culton,D1,Women,Division 1 Women,North Carolina Pleiades,Points,21
Dawn Culton,D1,Women,Division 1 Women,North Carolina Pleiades,Plus Minus,30
Emily Kemp,D1,Women,Division 1 Women,Tufts EWO,Turns,5
Emily Kemp,D1,Women,Division 1 Women,Tufts EWO,Ds,7
Emily Kemp,D1,Women,Division 1 Women,Tufts EWO,Assists,5
Emily Kemp,D1,Women,Division 1 Women,Tufts EWO,Points,22
Emily Kemp,D1,Women,Division 1 Women,Tufts EWO,Plus Minus,29
Devin Quinn,D1,Women,Division 1 Women,California - Santa Barbara Burning Skirts,Turns,6
Devin Quinn,D1,Women,Division 1 Women,California - Santa Barbara Burning Skirts,Ds,5
Devin Quinn,D1,Women,Division 1 Women,California - Santa Barbara Burning Skirts,Assists,13
Devin Quinn,D1,Women,Division 1 Women,California - Santa Barbara Burning Skirts,Points,17
Devin Quinn,D1,Women,Division 1 Women,California - Santa Barbara Burning Skirts,Plus Minus,29
Sage McGinley-Smith,D1,Women,Division 1 Women,Stanford Superfly,Turns,3
Sage McGinley-Smith,D1,Women,Division 1 Women,Stanford Superfly,Ds,9
Sage McGinley-Smith,D1,Women,Division 1 Women,Stanford Superfly,Assists,5
Sage McGinley-Smith,D1,Women,Division 1 Women,Stanford Superfly,Points,17
Sage McGinley-Smith,D1,Women,Division 1 Women,Stanford Superfly,Plus Minus,28
Anton Orme,D1,Men,Division 1 Men,Cal Poly-SLO Slocore,Turns,9
Anton Orme,D1,Men,Division 1 Men,Cal Poly-SLO Slocore,Ds,5
Anton Orme,D1,Men,Division 1 Men,Cal Poly-SLO Slocore,Assists,20
Anton Orme,D1,Men,Division 1 Men,Cal Poly-SLO Slocore,Points,12
Anton Orme,D1,Men,Division 1 Men,Cal Poly-SLO Slocore,Plus Minus,28
Mika Kurahashi,D1,Women,Division 1 Women,British Columbia Thunderbirds,Turns,2
Mika Kurahashi,D1,Women,Division 1 Women,British Columbia Thunderbirds,Ds,5
Mika Kurahashi,D1,Women,Division 1 Women,British Columbia Thunderbirds,Assists,12
Mika Kurahashi,D1,Women,Division 1 Women,British Columbia Thunderbirds,Points,12
Mika Kurahashi,D1,Women,Division 1 Women,British Columbia Thunderbirds,Plus Minus,27
Leo Farley,D3,Men,Division 3 Men,Lewis & Clark Bacchus,Turns,9
Leo Farley,D3,Men,Division 3 Men,Lewis & Clark Bacchus,Ds,8
Leo Farley,D3,Men,Division 3 Men,Lewis & Clark Bacchus,Assists,18
Leo Farley,D3,Men,Division 3 Men,Lewis & Clark Bacchus,Points,10
Leo Farley,D3,Men,Division 3 Men,Lewis & Clark Bacchus,Plus Minus,27
Tori Gray,D1,Women,Division 1 Women,Carleton Syzygy,Turns,13
Tori Gray,D1,Women,Division 1 Women,Carleton Syzygy,Ds,17
Tori Gray,D1,Women,Division 1 Women,Carleton Syzygy,Assists,13
Tori Gray,D1,Women,Division 1 Women,Carleton Syzygy,Points,9
Tori Gray,D1,Women,Division 1 Women,Carleton Syzygy,Plus Minus,26
Matthew Kompelien,D3,Men,Division 3 Men,St Olaf Berzerkers,Turns,4
Matthew Kompelien,D3,Men,Division 3 Men,St Olaf Berzerkers,Ds,8
Matthew Kompelien,D3,Men,Division 3 Men,St Olaf Berzerkers,Assists,16
Matthew Kompelien,D3,Men,Division 3 Men,St Olaf Berzerkers,Points,6
Matthew Kompelien,D3,Men,Division 3 Men,St Olaf Berzerkers,Plus Minus,26
Alex Nelson,D1,Men,Division 1 Men,Cal Poly-SLO Slocore,Turns,3
Alex Nelson,D1,Men,Division 1 Men,Cal Poly-SLO Slocore,Ds,5
Alex Nelson,D1,Men,Division 1 Men,Cal Poly-SLO Slocore,Assists,6
Alex Nelson,D1,Men,Division 1 Men,Cal Poly-SLO Slocore,Points,18
Alex Nelson,D1,Men,Division 1 Men,Cal Poly-SLO Slocore,Plus Minus,26
Stacy Gaskill,D1,Women,Division 1 Women,Colorado Quandary,Turns,2
Stacy Gaskill,D1,Women,Division 1 Women,Colorado Quandary,Ds,3
Stacy Gaskill,D1,Women,Division 1 Women,Colorado Quandary,Assists,12
Stacy Gaskill,D1,Women,Division 1 Women,Colorado Quandary,Points,12
Stacy Gaskill,D1,Women,Division 1 Women,Colorado Quandary,Plus Minus,25
Scott Heyman,D1,Men,Division 1 Men,Pittsburgh En Sabah Nur,Turns,8
Scott Heyman,D1,Men,Division 1 Men,Pittsburgh En Sabah Nur,Ds,9
Scott Heyman,D1,Men,Division 1 Men,Pittsburgh En Sabah Nur,Assists,16
Scott Heyman,D1,Men,Division 1 Men,Pittsburgh En Sabah Nur,Points,7
Scott Heyman,D1,Men,Division 1 Men,Pittsburgh En Sabah Nur,Plus Minus,24
Rowan Jamieson,D3,Men,Division 3 Men,Davenport Panthers,Turns,8
Rowan Jamieson,D3,Men,Division 3 Men,Davenport Panthers,Ds,5
Rowan Jamieson,D3,Men,Division 3 Men,Davenport Panthers,Assists,5
Rowan Jamieson,D3,Men,Division 3 Men,Davenport Panthers,Points,22
Rowan Jamieson,D3,Men,Division 3 Men,Davenport Panthers,Plus Minus,24
Daniel Snider,D3,Men,Division 3 Men,Bates Orange Whip,Turns,28
Daniel Snider,D3,Men,Division 3 Men,Bates Orange Whip,Ds,6
Daniel Snider,D3,Men,Division 3 Men,Bates Orange Whip,Assists,38
Daniel Snider,D3,Men,Division 3 Men,Bates Orange Whip,Points,8
Daniel Snider,D3,Men,Division 3 Men,Bates Orange Whip,Plus Minus,24
Calvin Brown,D1,Men,Division 1 Men,Cal Poly-SLO Slocore,Turns,23
Calvin Brown,D1,Men,Division 1 Men,Cal Poly-SLO Slocore,Ds,6
Calvin Brown,D1,Men,Division 1 Men,Cal Poly-SLO Slocore,Assists,30
Calvin Brown,D1,Men,Division 1 Men,Cal Poly-SLO Slocore,Points,11
Calvin Brown,D1,Men,Division 1 Men,Cal Poly-SLO Slocore,Plus Minus,24
Mica Glass,D1,Men,Division 1 Men,Oregon EGO,Turns,10
Mica Glass,D1,Men,Division 1 Men,Oregon EGO,Ds,5
Mica Glass,D1,Men,Division 1 Men,Oregon EGO,Assists,24
Mica Glass,D1,Men,Division 1 Men,Oregon EGO,Points,4
Mica Glass,D1,Men,Division 1 Men,Oregon EGO,Plus Minus,23
Anna Goddu,D1,Women,Division 1 Women,British Columbia Thunderbirds,Turns,8
Anna Goddu,D1,Women,Division 1 Women,British Columbia Thunderbirds,Ds,7
